date,opening_stock,received_stock,closing_stock,reorder_level,lead_time_days,date_year,date_month,date_day,date_quarter
2024-06-09,600.2790697674419,148.48837209302326,596.953488372093,150.0,5.976744186046512,2024.0,6.046511627906977,6.0,2.302325581395349
2024-06-16,643.7894736842105,182.89473684210526,574.5263157894736,150.0,5.052631578947368,2024.0,11.0,6.0,4.0
2024-06-23,628.3562477622628,172.20193340494092,563.2148227712137,150.0,5.422842821339062,2024.0,8.714285714285715,6.333333333333333,3.251700680272109
2024-06-30,612.9230218403151,161.5091299677766,551.9033297529538,150.0,5.7930540637307555,2024.0,6.428571428571429,6.666666666666667,2.503401360544218
2024-07-07,597.4897959183673,150.81632653061226,540.5918367346939,150.0,6.163265306122449,2024.0,4.142857142857143,7.0,1.7551020408163265
2024-07-14,652.84375,153.1875,612.65625,150.0,6.375,2024.0,10.0,7.0,3.59375
2024-07-21,638.8060897435897,154.22756410256412,609.7964743589744,150.0,6.378205128205129,2024.0,7.512820512820513,7.333333333333333,2.8189102564102564
2024-07-28,624.7684294871796,155.2676282051282,606.9366987179487,150.0,6.381410256410256,2024.0,5.0256410256410255,7.666666666666667,2.0440705128205128
2024-08-04,610.7307692307693,156.30769230769232,604.0769230769231,150.0,6.384615384615385,2024.0,2.5384615384615383,8.0,1.2692307692307692
2024-08-11,642.8837209302326,138.62790697674419,525.8604651162791,150.0,5.976744186046512,2024.0,8.023255813953488,8.0,3.0
2024-08-18,406.75,167.875,733.0,150.0,5.375,2024.0,12.0,8.0,4.0
2024-08-25,429.29166666666663,179.77083333333331,631.3333333333333,150.0,5.1875,2024.0,6.5,8.5,2.5
2024-09-01,451.8333333333333,191.66666666666666,529.6666666666666,150.0,5.0,2024.0,1.0,9.0,1.0
2024-09-08,615.0,165.7674418604651,606.3720930232558,150.0,5.976744186046512,2024.0,4.976744186046512,9.0,2.0
2024-09-15,660.88,152.68,560.16,150.0,6.16,2024.0,10.56,9.0,3.76
2024-09-22,634.9116666666666,159.55333333333334,570.8316666666666,150.0,6.015,2024.0,8.190000000000001,9.333333333333334,3.0066666666666664
2024-09-29,608.9433333333334,166.42666666666668,581.5033333333333,150.0,5.87,2024.0,5.82,9.666666666666666,2.253333333333333
2024-10-06,582.975,173.3,592.175,150.0,5.725,2024.0,3.45,10.0,1.5
2024-10-13,617.5,141.39473684210526,553.3684210526316,150.0,6.631578947368421,2024.0,9.394736842105264,10.0,3.473684210526316
2024-10-20,635.0,142.9298245614035,545.5087719298245,150.0,6.491228070175438,2024.0,6.912280701754387,10.333333333333334,2.649122807017544
2024-10-27,652.5,144.46491228070175,537.6491228070175,150.0,6.350877192982456,2024.0,4.429824561403509,10.666666666666666,1.824561403508772
2024-11-03,670.0,146.0,529.7894736842105,150.0,6.2105263157894735,2024.0,1.9473684210526316,11.0,1.0
2024-11-10,648.6818181818181,139.8409090909091,561.6818181818181,150.0,5.795454545454546,2024.0,7.0,11.0,2.7045454545454546
2024-11-17,479.9166666666667,127.5,543.5,150.0,6.666666666666667,2024.0,11.5,11.0,4.0
2024-11-24,557.875,142.58333333333331,635.3333333333333,150.0,6.25,2024.0,6.25,11.5,2.5
2024-12-01,635.8333333333334,157.66666666666666,727.1666666666666,150.0,5.833333333333333,2024.0,1.0,12.0,1.0
2024-12-08,608.6744186046511,159.13953488372093,543.7674418604652,150.0,6.348837209302325,2024.0,5.023255813953488,12.0,2.0
2024-12-15,541.8,200.24,580.76,150.0,6.2,2024.0,10.48,12.0,3.76
