order_id,date,product_id,product_name,category,warehouse,region,units_sold,unit_price,revenue,promotion,holiday,date_year,date_month,date_day,date_weekday,date_quarter,z_score,anomaly
1645,2024-10-01,P001,Laptop,Electronics,Hyderabad,South,100,60000,6000000,No,Yes,2024,10,1,Tuesday,4,4.042136507830614,1
1647,2024-10-01,P003,Chair,Furniture,Delhi,North,93,5000,465000,No,Yes,2024,10,1,Tuesday,4,3.654327934732638,1
1648,2024-10-01,P004,Rice,Grocery,Bengaluru,South,91,60,5460,No,Yes,2024,10,1,Tuesday,4,3.543525485276073,1
1651,2024-10-02,P001,Laptop,Electronics,Delhi,North,108,60000,6480000,No,Yes,2024,10,2,Wednesday,4,4.485346305656874,1
1652,2024-10-02,P002,Phone,Electronics,Kolkata,East,94,30000,2820000,No,Yes,2024,10,2,Wednesday,4,3.7097291594609203,1
1675,2024-10-06,P001,Laptop,Electronics,Delhi,North,92,60000,5520000,Yes,No,2024,10,6,Sunday,4,3.5989267100043554,1
1763,2024-10-20,P005,Tshirt,Clothing,Mumbai,West,99,800,79200,Yes,No,2024,10,20,Sunday,4,3.986735283102332,1
1821,2024-10-30,P003,Chair,Furniture,Hyderabad,South,101,5000,505000,No,Yes,2024,10,30,Wednesday,4,4.097537732558897,1
1822,2024-10-30,P004,Rice,Grocery,Mumbai,West,133,60,7980,Yes,Yes,2024,10,30,Wednesday,4,5.870376923863934,1
1823,2024-10-30,P005,Tshirt,Clothing,Hyderabad,South,85,800,68000,No,Yes,2024,10,30,Wednesday,4,3.2111181369063786,1
1824,2024-10-30,P006,Mixer,Home Appliances,Bengaluru,South,125,3500,437500,Yes,Yes,2024,10,30,Wednesday,4,5.427167126037674,1
1831,2024-11-01,P001,Laptop,Electronics,Hyderabad,South,108,60000,6480000,No,Yes,2024,11,1,Friday,4,4.485346305656874,1
1833,2024-11-01,P003,Chair,Furniture,Bengaluru,South,83,5000,415000,No,Yes,2024,11,1,Friday,4,3.1003156874498137,1
1834,2024-11-01,P004,Rice,Grocery,Delhi,North,96,60,5760,No,Yes,2024,11,1,Friday,4,3.8205316089174852,1
1836,2024-11-01,P006,Mixer,Home Appliances,Mumbai,West,110,3500,385000,No,Yes,2024,11,1,Friday,4,4.596148755113439,1
1837,2024-11-02,P001,Laptop,Electronics,Mumbai,West,121,60000,7260000,Yes,Yes,2024,11,2,Saturday,4,5.205562227124545,1
1841,2024-11-02,P005,Tshirt,Clothing,Mumbai,West,102,800,81600,No,Yes,2024,11,2,Saturday,4,4.152938957287179,1
1842,2024-11-02,P006,Mixer,Home Appliances,Delhi,North,113,3500,395500,No,Yes,2024,11,2,Saturday,4,4.762352429298286,1
2009,2024-11-30,P005,Tshirt,Clothing,Delhi,North,99,800,79200,No,Yes,2024,11,30,Saturday,4,3.986735283102332,1
2106,2024-12-16,P006,Mixer,Home Appliances,Kolkata,East,87,3500,304500,Yes,No,2024,12,16,Monday,4,3.3219205863629435,1
1854,2024-11-02,P001,Laptop,Electronics,Mumbai,West,121,60000,7260000,Yes,Yes,2024,11,2,Saturday,4,5.205562227124545,1
560,2024-04-03,P002,Phone,Electronics,Mumbai,West,82,30000,1980030,Yes,No,2024,4,3,Wednesday,2,3.044914462721531,1
1251,2024-07-27,P003,Chair,Furniture,Bengaluru,South,128,5000,470000,Yes,No,2024,7,27,Saturday,3,5.593370800222522,1
