order_id,date,product_id,product_name,category,warehouse,region,units_sold,unit_price,revenue,promotion,holiday,date_year,date_month,date_day,date_weekday,date_quarter
56,2024-01-10,P002,Phone,Electronics,Kolkata,East,32,30000,960000,No,No,2024,1,10,Wednesday,1
57,2024-01-10,P003,Chair,Furniture,Kolkata,East,11,5000,55000,No,No,2024,1,10,Wednesday,1
58,2024-01-10,P004,Rice,Grocery,Delhi,North,10,60,600,No,No,2024,1,10,Wednesday,1
59,2024-01-10,P005,Tshirt,Clothing,Delhi,North,94,800,75200,Yes,No,2024,1,10,Wednesday,1
60,2024-01-10,P006,Mixer,Home Appliances,Kolkata,East,31,3500,108500,No,No,2024,1,10,Wednesday,1
61,2024-01-11,P001,Laptop,Electronics,Kolkata,East,17,60000,1020000,No,No,2024,1,11,Thursday,1
62,2024-01-11,P002,Phone,Electronics,Kolkata,East,33,30000,990000,No,No,2024,1,11,Thursday,1
63,2024-01-11,P003,Chair,Furniture,Kolkata,East,16,5000,80000,No,No,2024,1,11,Thursday,1
64,2024-01-11,P004,Rice,Grocery,Bengaluru,South,5,60,300,No,No,2024,1,11,Thursday,1
65,2024-01-11,P005,Tshirt,Clothing,Hyderabad,South,9,800,7200,No,No,2024,1,11,Thursday,1
66,2024-01-11,P006,Mixer,Home Appliances,Delhi,North,33,3500,115500,No,No,2024,1,11,Thursday,1
67,2024-01-12,P001,Laptop,Electronics,Mumbai,West,12,60000,720000,No,No,2024,1,12,Friday,1
68,2024-01-12,P002,Phone,Electronics,Delhi,North,10,30000,300000,No,No,2024,1,12,Friday,1
69,2024-01-12,P003,Chair,Furniture,Mumbai,West,18,5000,90000,No,No,2024,1,12,Friday,1
70,2024-01-12,P004,Rice,Grocery,Bengaluru,South,13,60,780,No,No,2024,1,12,Friday,1
71,2024-01-12,P005,Tshirt,Clothing,Bengaluru,South,43,800,34400,Yes,No,2024,1,12,Friday,1
72,2024-01-12,P006,Mixer,Home Appliances,Delhi,North,34,3500,119000,No,No,2024,1,12,Friday,1
73,2024-01-13,P001,Laptop,Electronics,Bengaluru,South,11,60000,660000,No,No,2024,1,13,Saturday,1
74,2024-01-13,P002,Phone,Electronics,Delhi,North,12,30000,360000,No,No,2024,1,13,Saturday,1
75,2024-01-13,P003,Chair,Furniture,Mumbai,West,25,5000,125000,No,No,2024,1,13,Saturday,1
76,2024-01-13,P004,Rice,Grocery,Delhi,North,33,60,1980,No,No,2024,1,13,Saturday,1
77,2024-01-13,P005,Tshirt,Clothing,Mumbai,West,10,800,8000,No,No,2024,1,13,Saturday,1
78,2024-01-13,P006,Mixer,Home Appliances,Delhi,North,18,3500,63000,No,No,2024,1,13,Saturday,1
79,2024-01-14,P001,Laptop,Electronics,Hyderabad,South,36,60000,2160000,No,No,2024,1,14,Sunday,1
80,2024-01-14,P002,Phone,Electronics,Bengaluru,South,17,30000,510000,No,No,2024,1,14,Sunday,1
81,2024-01-14,P003,Chair,Furniture,Bengaluru,South,8,5000,40000,No,No,2024,1,14,Sunday,1
82,2024-01-14,P004,Rice,Grocery,Delhi,North,13,60,780,No,No,2024,1,14,Sunday,1
83,2024-01-14,P005,Tshirt,Clothing,Hyderabad,South,18,800,14400,No,No,2024,1,14,Sunday,1
84,2024-01-14,P006,Mixer,Home Appliances,Mumbai,West,7,3500,24500,No,No,2024,1,14,Sunday,1
85,2024-01-15,P001,Laptop,Electronics,Hyderabad,South,27,60000,1620000,No,No,2024,1,15,Monday,1
86,2024-01-15,P002,Phone,Electronics,Delhi,North,5,30000,150000,No,No,2024,1,15,Monday,1
87,2024-01-15,P003,Chair,Furniture,Hyderabad,South,31,5000,155000,No,No,2024,1,15,Monday,1
88,2024-01-15,P004,Rice,Grocery,Hyderabad,South,32,60,1920,No,No,2024,1,15,Monday,1
89,2024-01-15,P005,Tshirt,Clothing,Bengaluru,South,37,800,29600,No,No,2024,1,15,Monday,1
90,2024-01-15,P006,Mixer,Home Appliances,Delhi,North,36,3500,126000,No,No,2024,1,15,Monday,1
91,2024-01-16,P001,Laptop,Electronics,Kolkata,East,17,60000,1020000,No,No,2024,1,16,Tuesday,1
92,2024-01-16,P002,Phone,Electronics,Kolkata,East,27,30000,810000,No,No,2024,1,16,Tuesday,1
93,2024-01-16,P003,Chair,Furniture,Delhi,North,6,5000,30000,No,No,2024,1,16,Tuesday,1
94,2024-01-16,P004,Rice,Grocery,Delhi,North,35,60,2100,No,No,2024,1,16,Tuesday,1
95,2024-01-16,P005,Tshirt,Clothing,Bengaluru,South,66,800,52800,Yes,No,2024,1,16,Tuesday,1
96,2024-01-16,P006,Mixer,Home Appliances,Delhi,North,79,3500,276500,Yes,No,2024,1,16,Tuesday,1
97,2024-01-17,P001,Laptop,Electronics,Mumbai,West,40,60000,2400000,No,No,2024,1,17,Wednesday,1
98,2024-01-17,P002,Phone,Electronics,Delhi,North,37,30000,1110000,No,No,2024,1,17,Wednesday,1
99,2024-01-17,P003,Chair,Furniture,Hyderabad,South,10,5000,50000,No,No,2024,1,17,Wednesday,1
100,2024-01-17,P004,Rice,Grocery,Hyderabad,South,16,60,960,No,No,2024,1,17,Wednesday,1
101,2024-01-17,P005,Tshirt,Clothing,Kolkata,East,16,800,12800,No,No,2024,1,17,Wednesday,1
102,2024-01-17,P006,Mixer,Home Appliances,Mumbai,West,26,3500,91000,No,No,2024,1,17,Wednesday,1
103,2024-01-18,P001,Laptop,Electronics,Kolkata,East,26,60000,1560000,No,No,2024,1,18,Thursday,1
104,2024-01-18,P002,Phone,Electronics,Bengaluru,South,8,30000,240000,No,No,2024,1,18,Thursday,1
105,2024-01-18,P003,Chair,Furniture,Bengaluru,South,28,5000,140000,No,No,2024,1,18,Thursday,1
106,2024-01-18,P004,Rice,Grocery,Delhi,North,14,60,840,No,No,2024,1,18,Thursday,1
107,2024-01-18,P005,Tshirt,Clothing,Kolkata,East,10,800,8000,No,No,2024,1,18,Thursday,1
108,2024-01-18,P006,Mixer,Home Appliances,Bengaluru,South,17,3500,59500,No,No,2024,1,18,Thursday,1
109,2024-01-19,P001,Laptop,Electronics,Bengaluru,South,15,60000,900000,No,No,2024,1,19,Friday,1
110,2024-01-19,P002,Phone,Electronics,Bengaluru,South,17,30000,510000,No,No,2024,1,19,Friday,1
111,2024-01-19,P003,Chair,Furniture,Bengaluru,South,15,5000,75000,No,No,2024,1,19,Friday,1
112,2024-01-19,P004,Rice,Grocery,Bengaluru,South,30,60,1800,No,No,2024,1,19,Friday,1
113,2024-01-19,P005,Tshirt,Clothing,Kolkata,East,24,800,19200,No,No,2024,1,19,Friday,1
114,2024-01-19,P006,Mixer,Home Appliances,Hyderabad,South,37,3500,129500,No,No,2024,1,19,Friday,1
115,2024-01-20,P001,Laptop,Electronics,Hyderabad,South,20,60000,1200000,No,No,2024,1,20,Saturday,1
116,2024-01-20,P002,Phone,Electronics,Bengaluru,South,12,30000,360000,No,No,2024,1,20,Saturday,1
117,2024-01-20,P003,Chair,Furniture,Kolkata,East,10,5000,50000,No,No,2024,1,20,Saturday,1
118,2024-01-20,P004,Rice,Grocery,Bengaluru,South,13,60,780,No,No,2024,1,20,Saturday,1
119,2024-01-20,P005,Tshirt,Clothing,Delhi,North,34,800,27200,No,No,2024,1,20,Saturday,1
120,2024-01-20,P006,Mixer,Home Appliances,Hyderabad,South,14,3500,49000,No,No,2024,1,20,Saturday,1
121,2024-01-21,P001,Laptop,Electronics,Bengaluru,South,23,60000,1380000,No,No,2024,1,21,Sunday,1
122,2024-01-21,P002,Phone,Electronics,Hyderabad,South,30,30000,900000,No,No,2024,1,21,Sunday,1
123,2024-01-21,P003,Chair,Furniture,Bengaluru,South,35,5000,175000,No,No,2024,1,21,Sunday,1
124,2024-01-21,P004,Rice,Grocery,Delhi,North,18,60,1080,No,No,2024,1,21,Sunday,1
125,2024-01-21,P005,Tshirt,Clothing,Hyderabad,South,19,800,15200,No,No,2024,1,21,Sunday,1
126,2024-01-21,P006,Mixer,Home Appliances,Bengaluru,South,33,3500,115500,No,No,2024,1,21,Sunday,1
127,2024-01-22,P001,Laptop,Electronics,Delhi,North,22,60000,1320000,No,No,2024,1,22,Monday,1
128,2024-01-22,P002,Phone,Electronics,Delhi,North,32,30000,960000,No,No,2024,1,22,Monday,1
129,2024-01-22,P003,Chair,Furniture,Kolkata,East,9,5000,45000,No,No,2024,1,22,Monday,1
130,2024-01-22,P004,Rice,Grocery,Hyderabad,South,22,60,1320,No,No,2024,1,22,Monday,1
131,2024-01-22,P005,Tshirt,Clothing,Kolkata,East,39,800,31200,No,No,2024,1,22,Monday,1
132,2024-01-22,P006,Mixer,Home Appliances,Mumbai,West,28,3500,98000,No,No,2024,1,22,Monday,1
133,2024-01-23,P001,Laptop,Electronics,Mumbai,West,37,60000,2220000,No,No,2024,1,23,Tuesday,1
134,2024-01-23,P002,Phone,Electronics,Kolkata,East,18,30000,540000,No,No,2024,1,23,Tuesday,1
135,2024-01-23,P003,Chair,Furniture,Bengaluru,South,15,5000,75000,No,No,2024,1,23,Tuesday,1
136,2024-01-23,P004,Rice,Grocery,Hyderabad,South,36,60,2160,No,No,2024,1,23,Tuesday,1
137,2024-01-23,P005,Tshirt,Clothing,Mumbai,West,25,800,20000,No,No,2024,1,23,Tuesday,1
138,2024-01-23,P006,Mixer,Home Appliances,Bengaluru,South,27,3500,94500,No,No,2024,1,23,Tuesday,1
139,2024-01-24,P001,Laptop,Electronics,Delhi,North,21,60000,1260000,No,No,2024,1,24,Wednesday,1
140,2024-01-24,P002,Phone,Electronics,Mumbai,West,28,30000,840000,No,No,2024,1,24,Wednesday,1
141,2024-01-24,P003,Chair,Furniture,Mumbai,West,80,5000,400000,Yes,No,2024,1,24,Wednesday,1
142,2024-01-24,P004,Rice,Grocery,Mumbai,West,20,60,1200,No,No,2024,1,24,Wednesday,1
143,2024-01-24,P005,Tshirt,Clothing,Mumbai,West,24,800,19200,No,No,2024,1,24,Wednesday,1
144,2024-01-24,P006,Mixer,Home Appliances,Kolkata,East,33,3500,115500,No,No,2024,1,24,Wednesday,1
145,2024-01-25,P001,Laptop,Electronics,Hyderabad,South,34,60000,2040000,No,No,2024,1,25,Thursday,1
146,2024-01-25,P002,Phone,Electronics,Bengaluru,South,28,30000,840000,No,No,2024,1,25,Thursday,1
147,2024-01-25,P003,Chair,Furniture,Kolkata,East,39,5000,195000,No,No,2024,1,25,Thursday,1
148,2024-01-25,P004,Rice,Grocery,Hyderabad,South,28,60,1680,No,No,2024,1,25,Thursday,1
149,2024-01-25,P005,Tshirt,Clothing,Delhi,North,37,800,29600,No,No,2024,1,25,Thursday,1
150,2024-01-25,P006,Mixer,Home Appliances,Delhi,North,32,3500,112000,No,No,2024,1,25,Thursday,1
151,2024-01-26,P001,Laptop,Electronics,Kolkata,East,11,60000,660000,No,No,2024,1,26,Friday,1
152,2024-01-26,P002,Phone,Electronics,Bengaluru,South,6,30000,180000,No,No,2024,1,26,Friday,1
153,2024-01-26,P003,Chair,Furniture,Kolkata,East,31,5000,155000,No,No,2024,1,26,Friday,1
154,2024-01-26,P004,Rice,Grocery,Kolkata,East,16,60,960,No,No,2024,1,26,Friday,1
155,2024-01-26,P005,Tshirt,Clothing,Hyderabad,South,15,800,12000,No,No,2024,1,26,Friday,1
156,2024-01-26,P006,Mixer,Home Appliances,Mumbai,West,21,3500,73500,No,No,2024,1,26,Friday,1
157,2024-01-27,P001,Laptop,Electronics,Mumbai,West,56,60000,3360000,Yes,No,2024,1,27,Saturday,1
158,2024-01-27,P002,Phone,Electronics,Delhi,North,11,30000,330000,No,No,2024,1,27,Saturday,1
159,2024-01-27,P003,Chair,Furniture,Bengaluru,South,20,5000,100000,No,No,2024,1,27,Saturday,1
160,2024-01-27,P004,Rice,Grocery,Mumbai,West,35,60,2100,No,No,2024,1,27,Saturday,1
161,2024-01-27,P005,Tshirt,Clothing,Kolkata,East,11,800,8800,No,No,2024,1,27,Saturday,1
162,2024-01-27,P006,Mixer,Home Appliances,Bengaluru,South,38,3500,133000,No,No,2024,1,27,Saturday,1
163,2024-01-28,P001,Laptop,Electronics,Kolkata,East,22,60000,1320000,No,No,2024,1,28,Sunday,1
164,2024-01-28,P002,Phone,Electronics,Mumbai,West,29,30000,870000,No,No,2024,1,28,Sunday,1
165,2024-01-28,P003,Chair,Furniture,Delhi,North,5,5000,25000,No,No,2024,1,28,Sunday,1
166,2024-01-28,P004,Rice,Grocery,Hyderabad,South,10,60,600,No,No,2024,1,28,Sunday,1
167,2024-01-28,P005,Tshirt,Clothing,Kolkata,East,12,800,9600,No,No,2024,1,28,Sunday,1
168,2024-01-28,P006,Mixer,Home Appliances,Mumbai,West,33,3500,115500,No,No,2024,1,28,Sunday,1
169,2024-01-29,P001,Laptop,Electronics,Kolkata,East,70,60000,4200000,Yes,No,2024,1,29,Monday,1
170,2024-01-29,P002,Phone,Electronics,Kolkata,East,8,30000,240000,No,No,2024,1,29,Monday,1
171,2024-01-29,P003,Chair,Furniture,Delhi,North,37,5000,185000,No,No,2024,1,29,Monday,1
172,2024-01-29,P004,Rice,Grocery,Hyderabad,South,12,60,720,No,No,2024,1,29,Monday,1
173,2024-01-29,P005,Tshirt,Clothing,Hyderabad,South,35,800,28000,No,No,2024,1,29,Monday,1
174,2024-01-29,P006,Mixer,Home Appliances,Kolkata,East,39,3500,136500,No,No,2024,1,29,Monday,1
175,2024-01-30,P001,Laptop,Electronics,Delhi,North,7,60000,420000,No,No,2024,1,30,Tuesday,1
176,2024-01-30,P002,Phone,Electronics,Delhi,North,11,30000,330000,No,No,2024,1,30,Tuesday,1
177,2024-01-30,P003,Chair,Furniture,Bengaluru,South,38,5000,190000,No,No,2024,1,30,Tuesday,1
178,2024-01-30,P004,Rice,Grocery,Mumbai,West,24,60,1440,No,No,2024,1,30,Tuesday,1
179,2024-01-30,P005,Tshirt,Clothing,Hyderabad,South,40,800,32000,No,No,2024,1,30,Tuesday,1
180,2024-01-30,P006,Mixer,Home Appliances,Hyderabad,South,22,3500,77000,No,No,2024,1,30,Tuesday,1
181,2024-01-31,P001,Laptop,Electronics,Mumbai,West,35,60000,2100000,No,No,2024,1,31,Wednesday,1
182,2024-01-31,P002,Phone,Electronics,Hyderabad,South,20,30000,600000,No,No,2024,1,31,Wednesday,1
183,2024-01-31,P003,Chair,Furniture,Delhi,North,40,5000,200000,No,No,2024,1,31,Wednesday,1
184,2024-01-31,P004,Rice,Grocery,Mumbai,West,24,60,1440,No,No,2024,1,31,Wednesday,1
185,2024-01-31,P005,Tshirt,Clothing,Kolkata,East,38,800,30400,No,No,2024,1,31,Wednesday,1
186,2024-01-31,P006,Mixer,Home Appliances,Mumbai,West,6,3500,21000,No,No,2024,1,31,Wednesday,1
187,2024-02-01,P001,Laptop,Electronics,Mumbai,West,50,60000,3000000,Yes,No,2024,2,1,Thursday,1
188,2024-02-01,P002,Phone,Electronics,Hyderabad,South,31,30000,930000,No,No,2024,2,1,Thursday,1
189,2024-02-01,P003,Chair,Furniture,Hyderabad,South,83,5000,415000,Yes,No,2024,2,1,Thursday,1
190,2024-02-01,P004,Rice,Grocery,Kolkata,East,8,60,480,No,No,2024,2,1,Thursday,1
191,2024-02-01,P005,Tshirt,Clothing,Delhi,North,19,800,15200,No,No,2024,2,1,Thursday,1
192,2024-02-01,P006,Mixer,Home Appliances,Mumbai,West,8,3500,28000,No,No,2024,2,1,Thursday,1
193,2024-02-02,P001,Laptop,Electronics,Kolkata,East,14,60000,840000,No,No,2024,2,2,Friday,1
194,2024-02-02,P002,Phone,Electronics,Kolkata,East,12,30000,360000,No,No,2024,2,2,Friday,1
195,2024-02-02,P003,Chair,Furniture,Mumbai,West,58,5000,290000,Yes,No,2024,2,2,Friday,1
196,2024-02-02,P004,Rice,Grocery,Mumbai,West,60,60,3600,Yes,No,2024,2,2,Friday,1
197,2024-02-02,P005,Tshirt,Clothing,Bengaluru,South,36,800,28800,No,No,2024,2,2,Friday,1
198,2024-02-02,P006,Mixer,Home Appliances,Delhi,North,7,3500,24500,No,No,2024,2,2,Friday,1
199,2024-02-03,P001,Laptop,Electronics,Mumbai,West,17,60000,1020000,No,No,2024,2,3,Saturday,1
200,2024-02-03,P002,Phone,Electronics,Bengaluru,South,29,30000,870000,No,No,2024,2,3,Saturday,1
201,2024-02-03,P003,Chair,Furniture,Bengaluru,South,19,5000,95000,No,No,2024,2,3,Saturday,1
202,2024-02-03,P004,Rice,Grocery,Hyderabad,South,22,60,1320,No,No,2024,2,3,Saturday,1
203,2024-02-03,P005,Tshirt,Clothing,Mumbai,West,24,800,19200,No,No,2024,2,3,Saturday,1
204,2024-02-03,P006,Mixer,Home Appliances,Bengaluru,South,13,3500,45500,No,No,2024,2,3,Saturday,1
205,2024-02-04,P001,Laptop,Electronics,Bengaluru,South,36,60000,2160000,No,No,2024,2,4,Sunday,1
206,2024-02-04,P002,Phone,Electronics,Kolkata,East,39,30000,1170000,No,No,2024,2,4,Sunday,1
207,2024-02-04,P003,Chair,Furniture,Delhi,North,24,5000,120000,No,No,2024,2,4,Sunday,1
208,2024-02-04,P004,Rice,Grocery,Bengaluru,South,23,60,1380,No,No,2024,2,4,Sunday,1
209,2024-02-04,P005,Tshirt,Clothing,Kolkata,East,22,800,17600,No,No,2024,2,4,Sunday,1
210,2024-02-04,P006,Mixer,Home Appliances,Kolkata,East,35,3500,122500,No,No,2024,2,4,Sunday,1
211,2024-02-05,P001,Laptop,Electronics,Mumbai,West,21,60000,1260000,No,No,2024,2,5,Monday,1
212,2024-02-05,P002,Phone,Electronics,Mumbai,West,10,30000,300000,No,No,2024,2,5,Monday,1
213,2024-02-05,P003,Chair,Furniture,Mumbai,West,22,5000,110000,No,No,2024,2,5,Monday,1
214,2024-02-05,P004,Rice,Grocery,Hyderabad,South,76,60,4560,Yes,No,2024,2,5,Monday,1
215,2024-02-05,P005,Tshirt,Clothing,Bengaluru,South,24,800,19200,No,No,2024,2,5,Monday,1
216,2024-02-05,P006,Mixer,Home Appliances,Kolkata,East,23,3500,80500,No,No,2024,2,5,Monday,1
217,2024-02-06,P001,Laptop,Electronics,Hyderabad,South,40,60000,2400000,No,No,2024,2,6,Tuesday,1
218,2024-02-06,P002,Phone,Electronics,Delhi,North,31,30000,930000,No,No,2024,2,6,Tuesday,1
219,2024-02-06,P003,Chair,Furniture,Mumbai,West,13,5000,65000,No,No,2024,2,6,Tuesday,1
220,2024-02-06,P004,Rice,Grocery,Delhi,North,32,60,1920,No,No,2024,2,6,Tuesday,1
221,2024-02-06,P005,Tshirt,Clothing,Kolkata,East,18,800,14400,No,No,2024,2,6,Tuesday,1
222,2024-02-06,P006,Mixer,Home Appliances,Delhi,North,18,3500,63000,No,No,2024,2,6,Tuesday,1
223,2024-02-07,P001,Laptop,Electronics,Mumbai,West,26,60000,1560000,No,No,2024,2,7,Wednesday,1
224,2024-02-07,P002,Phone,Electronics,Kolkata,East,8,30000,240000,No,No,2024,2,7,Wednesday,1
225,2024-02-07,P003,Chair,Furniture,Delhi,North,21,5000,105000,No,No,2024,2,7,Wednesday,1
226,2024-02-07,P004,Rice,Grocery,Kolkata,East,18,60,1080,No,No,2024,2,7,Wednesday,1
227,2024-02-07,P005,Tshirt,Clothing,Delhi,North,23,800,18400,No,No,2024,2,7,Wednesday,1
228,2024-02-07,P006,Mixer,Home Appliances,Mumbai,West,40,3500,140000,No,No,2024,2,7,Wednesday,1
229,2024-02-08,P001,Laptop,Electronics,Kolkata,East,7,60000,420000,No,No,2024,2,8,Thursday,1
230,2024-02-08,P002,Phone,Electronics,Bengaluru,South,6,30000,180000,No,No,2024,2,8,Thursday,1
231,2024-02-08,P003,Chair,Furniture,Mumbai,West,7,5000,35000,No,No,2024,2,8,Thursday,1
232,2024-02-08,P004,Rice,Grocery,Delhi,North,12,60,720,No,No,2024,2,8,Thursday,1
233,2024-02-08,P005,Tshirt,Clothing,Mumbai,West,62,800,49600,Yes,No,2024,2,8,Thursday,1
234,2024-02-08,P006,Mixer,Home Appliances,Bengaluru,South,19,3500,66500,No,No,2024,2,8,Thursday,1
235,2024-02-09,P001,Laptop,Electronics,Kolkata,East,19,60000,1140000,No,No,2024,2,9,Friday,1
236,2024-02-09,P002,Phone,Electronics,Hyderabad,South,5,30000,150000,No,No,2024,2,9,Friday,1
237,2024-02-09,P003,Chair,Furniture,Kolkata,East,12,5000,60000,No,No,2024,2,9,Friday,1
238,2024-02-09,P004,Rice,Grocery,Mumbai,West,19,60,1140,No,No,2024,2,9,Friday,1
239,2024-02-09,P005,Tshirt,Clothing,Kolkata,East,35,800,28000,Yes,No,2024,2,9,Friday,1
240,2024-02-09,P006,Mixer,Home Appliances,Kolkata,East,6,3500,21000,No,No,2024,2,9,Friday,1
241,2024-02-10,P001,Laptop,Electronics,Bengaluru,South,65,60000,3900000,Yes,No,2024,2,10,Saturday,1
242,2024-02-10,P002,Phone,Electronics,Bengaluru,South,14,30000,420000,No,No,2024,2,10,Saturday,1
243,2024-02-10,P003,Chair,Furniture,Delhi,North,13,5000,65000,No,No,2024,2,10,Saturday,1
244,2024-02-10,P004,Rice,Grocery,Hyderabad,South,16,60,960,No,No,2024,2,10,Saturday,1
245,2024-02-10,P005,Tshirt,Clothing,Kolkata,East,24,800,19200,No,No,2024,2,10,Saturday,1
246,2024-02-10,P006,Mixer,Home Appliances,Bengaluru,South,21,3500,73500,No,No,2024,2,10,Saturday,1
247,2024-02-11,P001,Laptop,Electronics,Mumbai,West,38,60000,2280000,No,No,2024,2,11,Sunday,1
