date,product_id,warehouse,opening_stock,received_stock,closing_stock,reorder_level,lead_time_days,date_year,date_month,date_day,date_weekday,date_quarter
2024-01-08,P006,Bengaluru,999,61,191,150,7,2024,1,8,Monday,1
2024-01-09,P001,Hyderabad,222,243,472,150,5,2024,1,9,Tuesday,1
2024-01-09,P002,Kolkata,804,282,119,150,7,2024,1,9,Tuesday,1
2024-01-09,P003,Delhi,307,40,723,150,8,2024,1,9,Tuesday,1
2024-01-09,P004,Hyderabad,602,296,802,150,6,2024,1,9,Tuesday,1
2024-01-09,P005,Mumbai,484,158,274,150,2,2024,1,9,Tuesday,1
2024-01-09,P006,Kolkata,292,131,788,150,2,2024,1,9,Tuesday,1
2024-01-10,P001,Bengaluru,607,201,552,150,9,2024,1,10,Wednesday,1
2024-01-10,P002,Delhi,854,109,302,150,4,2024,1,10,Wednesday,1
2024-01-10,P003,Hyderabad,262,155,577,150,6,2024,1,10,Wednesday,1
2024-01-10,P004,Mumbai,970,291,321,150,6,2024,1,10,Wednesday,1
2024-01-10,P005,Bengaluru,693,170,786,150,4,2024,1,10,Wednesday,1
2024-01-10,P006,Kolkata,796,5,647,150,4,2024,1,10,Wednesday,1
2024-01-11,P001,Mumbai,600,187,753,150,8,2024,1,11,Thursday,1
2024-01-11,P002,Bengaluru,666,118,661,150,5,2024,1,11,Thursday,1
2024-01-11,P003,Kolkata,620,174,635,150,7,2024,1,11,Thursday,1
2024-01-11,P004,Bengaluru,562,199,509,150,3,2024,1,11,Thursday,1
2024-01-11,P005,Mumbai,912,26,537,150,10,2024,1,11,Thursday,1
2024-01-11,P006,Delhi,438,273,366,150,7,2024,1,11,Thursday,1
2024-01-12,P001,Bengaluru,787,94,525,150,2,2024,1,12,Friday,1
2024-01-12,P002,Bengaluru,695,5,877,150,10,2024,1,12,Friday,1
2024-01-12,P003,Hyderabad,774,223,742,150,5,2024,1,12,Friday,1
2024-01-12,P004,Mumbai,906,256,768,150,2,2024,1,12,Friday,1
2024-01-12,P005,Kolkata,363,182,995,150,9,2024,1,12,Friday,1
2024-01-12,P006,Bengaluru,290,186,456,150,7,2024,1,12,Friday,1
2024-01-13,P001,Bengaluru,578,158,650,150,8,2024,1,13,Saturday,1
2024-01-13,P002,Hyderabad,342,265,942,150,10,2024,1,13,Saturday,1
2024-01-13,P003,Hyderabad,515,225,565,150,3,2024,1,13,Saturday,1
2024-01-13,P004,Mumbai,746,106,580,150,6,2024,1,13,Saturday,1
2024-01-13,P005,Bengaluru,882,143,278,150,9,2024,1,13,Saturday,1
2024-01-13,P006,Bengaluru,848,73,399,150,10,2024,1,13,Saturday,1
2024-01-14,P001,Kolkata,419,15,871,150,3,2024,1,14,Sunday,1
2024-01-14,P002,Mumbai,265,187,294,150,4,2024,1,14,Sunday,1
2024-01-14,P003,Hyderabad,504,70,173,150,3,2024,1,14,Sunday,1
2024-01-14,P004,Kolkata,414,191,993,150,5,2024,1,14,Sunday,1
2024-01-14,P005,Hyderabad,552,115,366,150,6,2024,1,14,Sunday,1
2024-01-14,P006,Mumbai,775,281,662,150,9,2024,1,14,Sunday,1
2024-01-15,P001,Kolkata,915,40,854,150,5,2024,1,15,Monday,1
2024-01-15,P002,Bengaluru,518,112,395,150,3,2024,1,15,Monday,1
2024-01-15,P003,Bengaluru,427,269,149,150,7,2024,1,15,Monday,1
2024-01-15,P004,Hyderabad,627,47,214,150,6,2024,1,15,Monday,1
2024-01-15,P005,Hyderabad,809,219,451,150,7,2024,1,15,Monday,1
2024-01-15,P006,Mumbai,427,82,593,150,10,2024,1,15,Monday,1
2024-01-16,P001,Kolkata,802,11,549,150,4,2024,1,16,Tuesday,1
2024-01-16,P002,Delhi,700,164,486,150,10,2024,1,16,Tuesday,1
2024-01-16,P003,Bengaluru,497,197,471,150,9,2024,1,16,Tuesday,1
2024-01-16,P004,Delhi,517,83,649,150,9,2024,1,16,Tuesday,1
2024-01-16,P005,Mumbai,507,275,577,150,8,2024,1,16,Tuesday,1
2024-01-16,P006,Mumbai,476,205,278,150,7,2024,1,16,Tuesday,1
2024-01-17,P001,Delhi,510,259,667,150,3,2024,1,17,Wednesday,1
2024-01-17,P002,Mumbai,325,258,705,150,5,2024,1,17,Wednesday,1
2024-01-17,P003,Kolkata,207,141,422,150,2,2024,1,17,Wednesday,1
2024-01-17,P004,Hyderabad,338,21,119,150,9,2024,1,17,Wednesday,1
2024-01-17,P005,Hyderabad,697,26,371,150,8,2024,1,17,Wednesday,1
2024-01-17,P006,Delhi,882,133,925,150,2,2024,1,17,Wednesday,1
2024-01-18,P001,Delhi,437,189,613,150,7,2024,1,18,Thursday,1
2024-01-18,P002,Mumbai,224,142,980,150,3,2024,1,18,Thursday,1
2024-01-18,P003,Mumbai,753,133,775,150,9,2024,1,18,Thursday,1
2024-01-18,P004,Hyderabad,695,202,521,150,8,2024,1,18,Thursday,1
2024-01-18,P005,Mumbai,536,212,630,150,10,2024,1,18,Thursday,1
2024-01-18,P006,Mumbai,355,66,910,150,4,2024,1,18,Thursday,1
2024-01-19,P001,Delhi,956,219,892,150,10,2024,1,19,Friday,1
2024-01-19,P002,Delhi,244,204,987,150,8,2024,1,19,Friday,1
2024-01-19,P003,Mumbai,588,21,417,150,6,2024,1,19,Friday,1
2024-01-19,P004,Mumbai,517,205,217,150,7,2024,1,19,Friday,1
2024-01-19,P005,Delhi,988,133,300,150,2,2024,1,19,Friday,1
2024-01-19,P006,Kolkata,309,73,402,150,5,2024,1,19,Friday,1
2024-01-20,P001,Hyderabad,613,18,935,150,7,2024,1,20,Saturday,1
2024-01-20,P002,Hyderabad,922,294,581,150,3,2024,1,20,Saturday,1
2024-01-20,P003,Hyderabad,872,59,533,150,3,2024,1,20,Saturday,1
2024-01-20,P004,Hyderabad,766,17,794,150,4,2024,1,20,Saturday,1
2024-01-20,P005,Mumbai,284,106,996,150,9,2024,1,20,Saturday,1
2024-01-20,P006,Hyderabad,977,179,533,150,2,2024,1,20,Saturday,1
2024-01-21,P001,Kolkata,365,248,564,150,2,2024,1,21,Sunday,1
2024-01-21,P002,Kolkata,864,80,113,150,2,2024,1,21,Sunday,1
2024-01-21,P003,Bengaluru,489,133,209,150,3,2024,1,21,Sunday,1
2024-01-21,P004,Kolkata,473,193,995,150,3,2024,1,21,Sunday,1
2024-01-21,P005,Kolkata,903,210,769,150,9,2024,1,21,Sunday,1
2024-01-21,P006,Mumbai,285,58,457,150,5,2024,1,21,Sunday,1
2024-01-22,P001,Bengaluru,568,76,191,150,6,2024,1,22,Monday,1
2024-01-22,P002,Bengaluru,837,19,139,150,5,2024,1,22,Monday,1
2024-01-22,P003,Bengaluru,757,174,613,150,6,2024,1,22,Monday,1
2024-01-22,P004,Kolkata,393,161,739,150,4,2024,1,22,Monday,1
2024-01-22,P005,Hyderabad,477,122,189,150,2,2024,1,22,Monday,1
2024-01-22,P006,Mumbai,539,162,310,150,10,2024,1,22,Monday,1
2024-01-23,P001,Delhi,867,262,651,150,4,2024,1,23,Tuesday,1
2024-01-23,P002,Delhi,207,140,697,150,5,2024,1,23,Tuesday,1
2024-01-23,P003,Mumbai,575,143,535,150,4,2024,1,23,Tuesday,1
2024-01-23,P004,Mumbai,943,214,989,150,6,2024,1,23,Tuesday,1
2024-01-23,P005,Bengaluru,585,224,781,150,8,2024,1,23,Tuesday,1
2024-01-23,P006,Delhi,722,289,491,150,3,2024,1,23,Tuesday,1
2024-01-24,P001,Mumbai,969,29,508,150,5,2024,1,24,Wednesday,1
2024-01-24,P002,Kolkata,488,212,953,150,10,2024,1,24,Wednesday,1
2024-01-24,P003,Kolkata,924,284,701,150,9,2024,1,24,Wednesday,1
2024-01-24,P004,Delhi,513,208,353,150,8,2024,1,24,Wednesday,1
2024-01-24,P005,Delhi,362,251,836,150,7,2024,1,24,Wednesday,1
2024-01-24,P006,Kolkata,621,32,697,150,6,2024,1,24,Wednesday,1
2024-01-25,P001,Delhi,448,259,130,150,5,2024,1,25,Thursday,1
2024-01-25,P002,Delhi,850,7,991,150,6,2024,1,25,Thursday,1
2024-01-25,P003,Hyderabad,485,282,232,150,7,2024,1,25,Thursday,1
2024-01-25,P004,Kolkata,705,55,170,150,6,2024,1,25,Thursday,1
2024-01-25,P005,Kolkata,248,12,689,150,3,2024,1,25,Thursday,1
2024-01-25,P006,Delhi,213,246,356,150,9,2024,1,25,Thursday,1
2024-01-26,P001,Delhi,285,166,106,150,6,2024,1,26,Friday,1
2024-01-26,P002,Hyderabad,790,140,293,150,9,2024,1,26,Friday,1
2024-01-26,P003,Hyderabad,448,17,236,150,10,2024,1,26,Friday,1
2024-01-26,P004,Hyderabad,796,170,623,150,6,2024,1,26,Friday,1
2024-01-26,P005,Bengaluru,230,133,851,150,6,2024,1,26,Friday,1
2024-01-26,P006,Hyderabad,990,179,874,150,9,2024,1,26,Friday,1
2024-01-27,P001,Bengaluru,210,98,114,150,2,2024,1,27,Saturday,1
2024-01-27,P002,Bengaluru,640,182,753,150,6,2024,1,27,Saturday,1
2024-01-27,P003,Delhi,923,163,259,150,8,2024,1,27,Saturday,1
2024-01-27,P004,Delhi,542,64,395,150,4,2024,1,27,Saturday,1
2024-01-27,P005,Kolkata,416,103,929,150,7,2024,1,27,Saturday,1
2024-01-27,P006,Hyderabad,641,0,527,150,7,2024,1,27,Saturday,1
2024-01-28,P001,Kolkata,920,152,868,150,3,2024,1,28,Sunday,1
2024-01-28,P002,Mumbai,407,84,884,150,2,2024,1,28,Sunday,1
2024-01-28,P003,Hyderabad,683,247,590,150,8,2024,1,28,Sunday,1
2024-01-28,P004,Bengaluru,540,145,491,150,9,2024,1,28,Sunday,1
2024-01-28,P005,Hyderabad,248,279,428,150,6,2024,1,28,Sunday,1
2024-01-28,P006,Hyderabad,611,27,904,150,7,2024,1,28,Sunday,1
2024-01-29,P001,Bengaluru,722,44,957,150,5,2024,1,29,Monday,1
2024-01-29,P002,Mumbai,688,153,974,150,9,2024,1,29,Monday,1
2024-01-29,P003,Mumbai,666,136,616,150,2,2024,1,29,Monday,1
2024-01-29,P004,Hyderabad,843,238,694,150,3,2024,1,29,Monday,1
2024-01-29,P005,Kolkata,906,86,749,150,5,2024,1,29,Monday,1
2024-01-29,P006,Kolkata,817,1,890,150,3,2024,1,29,Monday,1
2024-01-30,P001,Mumbai,461,194,655,150,3,2024,1,30,Tuesday,1
2024-01-30,P002,Kolkata,589,63,582,150,9,2024,1,30,Tuesday,1
2024-01-30,P003,Delhi,266,29,144,150,6,2024,1,30,Tuesday,1
2024-01-30,P004,Hyderabad,492,183,828,150,9,2024,1,30,Tuesday,1
2024-01-30,P005,Kolkata,826,292,384,150,8,2024,1,30,Tuesday,1
2024-01-30,P006,Mumbai,812,179,965,150,5,2024,1,30,Tuesday,1
2024-01-31,P001,Bengaluru,620,92,677,150,9,2024,1,31,Wednesday,1
2024-01-31,P002,Kolkata,381,289,564,150,2,2024,1,31,Wednesday,1
2024-01-31,P003,Kolkata,780,21,746,150,8,2024,1,31,Wednesday,1
2024-01-31,P004,Hyderabad,783,59,443,150,9,2024,1,31,Wednesday,1
2024-01-31,P005,Mumbai,638,195,935,150,7,2024,1,31,Wednesday,1
2024-01-31,P006,Bengaluru,330,241,328,150,8,2024,1,31,Wednesday,1
2024-02-01,P001,Kolkata,858,192,466,150,3,2024,2,1,Thursday,1
2024-02-01,P002,Mumbai,698,188,435,150,7,2024,2,1,Thursday,1
2024-02-01,P003,Mumbai,748,240,293,150,10,2024,2,1,Thursday,1
2024-02-01,P004,Mumbai,963,5,145,150,6,2024,2,1,Thursday,1
2024-02-01,P005,Hyderabad,358,189,651,150,9,2024,2,1,Thursday,1
2024-02-01,P006,Bengaluru,244,272,365,150,4,2024,2,1,Thursday,1
2024-02-02,P001,Kolkata,435,116,233,150,7,2024,2,2,Friday,1
2024-02-02,P002,Kolkata,911,150,597,150,2,2024,2,2,Friday,1
2024-02-02,P003,Hyderabad,614,14,145,150,10,2024,2,2,Friday,1
2024-02-02,P004,Hyderabad,728,52,558,150,9,2024,2,2,Friday,1
2024-02-02,P005,Bengaluru,290,279,595,150,4,2024,2,2,Friday,1
2024-02-02,P006,Kolkata,366,60,117,150,9,2024,2,2,Friday,1
2024-02-03,P001,Bengaluru,731,17,292,150,10,2024,2,3,Saturday,1
2024-02-03,P002,Mumbai,396,158,792,150,7,2024,2,3,Saturday,1
2024-02-03,P003,Kolkata,417,156,969,150,10,2024,2,3,Saturday,1
2024-02-03,P004,Bengaluru,313,253,289,150,3,2024,2,3,Saturday,1
2024-02-03,P005,Kolkata,862,219,860,150,3,2024,2,3,Saturday,1
2024-02-03,P006,Kolkata,205,26,544,150,5,2024,2,3,Saturday,1
2024-02-04,P001,Hyderabad,815,16,464,150,2,2024,2,4,Sunday,1
2024-02-04,P002,Hyderabad,791,75,639,150,9,2024,2,4,Sunday,1
2024-02-04,P003,Bengaluru,749,206,969,150,10,2024,2,4,Sunday,1
2024-02-04,P004,Hyderabad,439,96,514,150,9,2024,2,4,Sunday,1
2024-02-04,P005,Delhi,374,44,869,150,2,2024,2,4,Sunday,1
2024-02-04,P006,Bengaluru,443,185,143,150,10,2024,2,4,Sunday,1
2024-02-05,P001,Hyderabad,591,233,952,150,4,2024,2,5,Monday,1
2024-02-05,P002,Mumbai,566,191,945,150,4,2024,2,5,Monday,1
2024-02-05,P003,Bengaluru,795,149,547,150,7,2024,2,5,Monday,1
2024-02-05,P004,Mumbai,230,187,885,150,10,2024,2,5,Monday,1
2024-02-05,P005,Kolkata,727,60,865,150,6,2024,2,5,Monday,1
2024-02-05,P006,Hyderabad,716,157,219,150,10,2024,2,5,Monday,1
2024-02-06,P001,Hyderabad,830,224,392,150,6,2024,2,6,Tuesday,1
2024-02-06,P002,Hyderabad,321,93,536,150,8,2024,2,6,Tuesday,1
2024-02-06,P003,Mumbai,815,11,990,150,3,2024,2,6,Tuesday,1
2024-02-06,P004,Hyderabad,406,11,425,150,4,2024,2,6,Tuesday,1
2024-02-06,P005,Hyderabad,591,102,563,150,8,2024,2,6,Tuesday,1
2024-02-06,P006,Kolkata,882,23,252,150,6,2024,2,6,Tuesday,1
2024-02-07,P001,Hyderabad,314,296,728,150,10,2024,2,7,Wednesday,1
2024-02-07,P002,Kolkata,947,226,581,150,6,2024,2,7,Wednesday,1
2024-02-07,P003,Delhi,254,135,243,150,4,2024,2,7,Wednesday,1
2024-02-07,P004,Delhi,958,145,497,150,6,2024,2,7,Wednesday,1
2024-02-07,P005,Mumbai,782,193,275,150,8,2024,2,7,Wednesday,1
2024-02-07,P006,Hyderabad,622,137,557,150,2,2024,2,7,Wednesday,1
2024-02-08,P001,Hyderabad,747,246,697,150,9,2024,2,8,Thursday,1
2024-02-08,P002,Kolkata,690,84,606,150,2,2024,2,8,Thursday,1
2024-02-08,P003,Delhi,447,218,463,150,2,2024,2,8,Thursday,1
2024-02-08,P004,Bengaluru,351,281,978,150,6,2024,2,8,Thursday,1
2024-02-08,P005,Delhi,962,273,852,150,9,2024,2,8,Thursday,1
2024-02-08,P006,Hyderabad,482,79,351,150,5,2024,2,8,Thursday,1
2024-02-09,P001,Delhi,508,6,291,150,3,2024,2,9,Friday,1
2024-02-09,P002,Hyderabad,798,193,231,150,10,2024,2,9,Friday,1
2024-02-09,P003,Hyderabad,988,135,386,150,6,2024,2,9,Friday,1
2024-02-09,P004,Kolkata,477,254,944,150,3,2024,2,9,Friday,1
2024-02-09,P005,Mumbai,446,198,590,150,2,2024,2,9,Friday,1
2024-02-09,P006,Bengaluru,586,206,278,150,3,2024,2,9,Friday,1
2024-02-10,P001,Bengaluru,900,172,975,150,7,2024,2,10,Saturday,1
2024-02-10,P002,Delhi,274,19,136,150,8,2024,2,10,Saturday,1
2024-02-10,P003,Kolkata,354,222,180,150,4,2024,2,10,Saturday,1
2024-02-10,P004,Mumbai,1000,285,231,150,4,2024,2,10,Saturday,1
2024-02-10,P005,Hyderabad,598,292,926,150,9,2024,2,10,Saturday,1
2024-02-10,P006,Delhi,680,147,806,150,7,2024,2,10,Saturday,1
2024-02-11,P001,Hyderabad,514,18,653,150,5,2024,2,11,Sunday,1
2024-02-11,P002,Bengaluru,468,49,528,150,8,2024,2,11,Sunday,1
2024-02-11,P003,Mumbai,883,158,896,150,4,2024,2,11,Sunday,1
2024-02-11,P004,Hyderabad,945,184,659,150,8,2024,2,11,Sunday,1
2024-02-11,P005,Hyderabad,394,15,679,150,4,2024,2,11,Sunday,1
2024-02-11,P006,Delhi,557,154,212,150,2,2024,2,11,Sunday,1
2024-02-12,P001,Delhi,495,240,545,150,10,2024,2,12,Monday,1
2024-02-12,P002,Hyderabad,684,75,427,150,2,2024,2,12,Monday,1
2024-02-12,P003,Kolkata,932,172,338,150,7,2024,2,12,Monday,1
2024-02-12,P004,Kolkata,663,253,123,150,6,2024,2,12,Monday,1
2024-02-12,P005,Delhi,354,265,176,150,10,2024,2,12,Monday,1
2024-02-12,P006,Delhi,828,282,444,150,9,2024,2,12,Monday,1
2024-02-13,P001,Mumbai,410,33,444,150,2,2024,2,13,Tuesday,1
2024-02-13,P002,Hyderabad,605,241,974,150,9,2024,2,13,Tuesday,1
2024-02-13,P003,Delhi,989,104,624,150,7,2024,2,13,Tuesday,1
2024-02-13,P004,Mumbai,772,230,224,150,8,2024,2,13,Tuesday,1
2024-02-13,P005,Hyderabad,730,276,174,150,8,2024,2,13,Tuesday,1
2024-02-13,P006,Kolkata,591,210,149,150,4,2024,2,13,Tuesday,1
2024-02-14,P001,Kolkata,968,75,455,150,3,2024,2,14,Wednesday,1
2024-02-14,P002,Bengaluru,656,68,495,150,8,2024,2,14,Wednesday,1
2024-02-14,P003,Hyderabad,533,197,190,150,7,2024,2,14,Wednesday,1
2024-02-14,P004,Kolkata,585,9,440,150,6,2024,2,14,Wednesday,1
2024-02-14,P005,Hyderabad,465,186,308,150,10,2024,2,14,Wednesday,1
2024-02-14,P006,Mumbai,751,253,591,150,9,2024,2,14,Wednesday,1
2024-02-15,P001,Bengaluru,415,247,949,150,7,2024,2,15,Thursday,1
2024-02-15,P002,Delhi,696,78,130,150,3,2024,2,15,Thursday,1
2024-02-15,P003,Hyderabad,275,193,729,150,2,2024,2,15,Thursday,1
2024-02-15,P004,Delhi,506,41,416,150,2,2024,2,15,Thursday,1
2024-02-15,P005,Hyderabad,841,84,957,150,9,2024,2,15,Thursday,1
2024-02-15,P006,Kolkata,631,273,579,150,5,2024,2,15,Thursday,1
2024-02-16,P001,Kolkata,933,100,775,150,5,2024,2,16,Friday,1
2024-02-16,P002,Bengaluru,500,43,213,150,2,2024,2,16,Friday,1
2024-02-16,P003,Bengaluru,422,11,730,150,7,2024,2,16,Friday,1
2024-02-16,P004,Bengaluru,476,13,641,150,2,2024,2,16,Friday,1
2024-02-16,P005,Kolkata,772,71,429,150,10,2024,2,16,Friday,1
2024-02-16,P006,Mumbai,285,98,743,150,2,2024,2,16,Friday,1
2024-02-17,P001,Kolkata,463,124,938,150,6,2024,2,17,Saturday,1
2024-02-17,P002,Hyderabad,713,138,772,150,6,2024,2,17,Saturday,1
2024-02-17,P003,Hyderabad,834,207,724,150,5,2024,2,17,Saturday,1
2024-02-17,P004,Delhi,476,60,984,150,5,2024,2,17,Saturday,1
2024-02-17,P005,Bengaluru,694,10,360,150,5,2024,2,17,Saturday,1
2024-02-17,P006,Bengaluru,332,250,671,150,6,2024,2,17,Saturday,1
2024-02-18,P001,Bengaluru,207,171,501,150,5,2024,2,18,Sunday,1
2024-02-18,P002,Hyderabad,429,244,606,150,5,2024,2,18,Sunday,1
2024-02-18,P003,Bengaluru,913,77,981,150,2,2024,2,18,Sunday,1
2024-02-18,P004,Hyderabad,533,57,397,150,7,2024,2,18,Sunday,1
2024-02-18,P005,Hyderabad,806,51,1000,150,4,2024,2,18,Sunday,1
2024-02-18,P006,Bengaluru,449,259,169,150,3,2024,2,18,Sunday,1
2024-02-19,P001,Kolkata,841,216,578,150,7,2024,2,19,Monday,1
2024-02-19,P002,Bengaluru,434,203,656,150,9,2024,2,19,Monday,1
2024-02-19,P003,Bengaluru,533,96,533,150,4,2024,2,19,Monday,1
2024-02-19,P004,Kolkata,453,177,528,150,2,2024,2,19,Monday,1
2024-02-19,P005,Kolkata,990,212,316,150,8,2024,2,19,Monday,1
2024-02-19,P006,Kolkata,880,12,615,150,8,2024,2,19,Monday,1
2024-02-20,P001,Mumbai,680,164,247,150,7,2024,2,20,Tuesday,1
2024-02-20,P002,Bengaluru,516,43,534,150,2,2024,2,20,Tuesday,1
2024-02-20,P003,Mumbai,872,0,232,150,8,2024,2,20,Tuesday,1
2024-02-20,P004,Bengaluru,416,213,848,150,8,2024,2,20,Tuesday,1
2024-02-20,P005,Delhi,734,91,667,150,6,2024,2,20,Tuesday,1
2024-02-20,P006,Mumbai,319,296,172,150,6,2024,2,20,Tuesday,1
2024-02-21,P001,Delhi,995,88,771,150,5,2024,2,21,Wednesday,1
2024-02-21,P002,Bengaluru,893,168,475,150,6,2024,2,21,Wednesday,1
2024-02-21,P003,Hyderabad,801,122,594,150,6,2024,2,21,Wednesday,1
2024-02-21,P004,Kolkata,940,299,850,150,4,2024,2,21,Wednesday,1
2024-02-21,P005,Bengaluru,860,190,962,150,8,2024,2,21,Wednesday,1
2024-02-21,P006,Bengaluru,584,95,446,150,8,2024,2,21,Wednesday,1
2024-02-22,P001,Delhi,810,29,862,150,8,2024,2,22,Thursday,1
2024-02-22,P002,Kolkata,673,262,356,150,2,2024,2,22,Thursday,1
2024-02-22,P003,Hyderabad,841,276,880,150,2,2024,2,22,Thursday,1
2024-02-22,P004,Delhi,305,128,972,150,7,2024,2,22,Thursday,1
2024-02-22,P005,Kolkata,341,74,355,150,6,2024,2,22,Thursday,1
2024-02-22,P006,Delhi,766,246,282,150,8,2024,2,22,Thursday,1
2024-02-23,P001,Kolkata,575,167,791,150,8,2024,2,23,Friday,1
2024-02-23,P002,Delhi,935,117,191,150,8,2024,2,23,Friday,1
2024-02-23,P003,Delhi,427,103,236,150,7,2024,2,23,Friday,1
2024-02-23,P004,Kolkata,665,226,951,150,3,2024,2,23,Friday,1
2024-02-23,P005,Kolkata,584,227,713,150,7,2024,2,23,Friday,1
2024-02-23,P006,Mumbai,734,64,252,150,8,2024,2,23,Friday,1
2024-02-24,P001,Mumbai,799,275,315,150,9,2024,2,24,Saturday,1
2024-02-24,P002,Kolkata,511,254,421,150,4,2024,2,24,Saturday,1
2024-02-24,P003,Mumbai,524,55,928,150,2,2024,2,24,Saturday,1
2024-02-24,P004,Mumbai,657,97,736,150,10,2024,2,24,Saturday,1
2024-02-24,P005,Mumbai,319,213,305,150,8,2024,2,24,Saturday,1
2024-02-24,P006,Kolkata,976,267,996,150,9,2024,2,24,Saturday,1
2024-02-25,P001,Delhi,421,196,283,150,7,2024,2,25,Sunday,1
2024-02-25,P002,Mumbai,916,129,805,150,2,2024,2,25,Sunday,1
2024-02-25,P003,Kolkata,204,135,230,150,4,2024,2,25,Sunday,1
2024-02-25,P004,Bengaluru,531,86,616,150,5,2024,2,25,Sunday,1
2024-02-25,P005,Kolkata,904,132,613,150,3,2024,2,25,Sunday,1
2024-02-25,P006,Kolkata,740,110,494,150,7,2024,2,25,Sunday,1
2024-02-26,P001,Hyderabad,991,253,761,150,4,2024,2,26,Monday,1
2024-02-26,P002,Bengaluru,515,102,203,150,6,2024,2,26,Monday,1
2024-02-26,P003,Delhi,813,149,514,150,3,2024,2,26,Monday,1
2024-02-26,P004,Kolkata,451,200,215,150,6,2024,2,26,Monday,1
2024-02-26,P005,Mumbai,744,296,604,150,5,2024,2,26,Monday,1
2024-02-26,P006,Kolkata,739,257,329,150,3,2024,2,26,Monday,1
2024-02-27,P001,Delhi,730,285,512,150,10,2024,2,27,Tuesday,1
2024-02-27,P002,Hyderabad,918,48,909,150,6,2024,2,27,Tuesday,1
