supplier_id,supplier_name,product_id,delivery_date,expected_date,delay_days,supplier_rating,transportation_cost,delivery_date_year,delivery_date_month,delivery_date_day,delivery_date_weekday,delivery_date_quarter,expected_date_year,expected_date_month,expected_date_day,expected_date_weekday,expected_date_quarter
S003,Supplier 3,P003,2024-04-01,2024-03-26,6,3.2,2277,2024.0,4.0,1.0,Monday,2.0,2024,3,26,Tuesday,1
S003,Supplier 3,P005,2024-11-01,2024-10-31,1,5.0,3460,2024.0,11.0,1.0,Friday,4.0,2024,10,31,Thursday,4
S003,Supplier 3,P005,2024-12-04,2024-11-27,7,3.2,1460,2024.0,12.0,4.0,Wednesday,4.0,2024,11,27,Wednesday,4
S004,Supplier 4,P002,2024-08-23,2024-08-23,0,3.9,2243,2024.0,8.0,23.0,Friday,3.0,2024,8,23,Friday,3
S003,Supplier 3,P002,2024-10-08,2024-10-01,7,3.1,3795,2024.0,10.0,8.0,Tuesday,4.0,2024,10,1,Tuesday,4
S001,Supplier 1,P003,2024-04-25,2024-04-20,5,3.7,3913,2024.0,4.0,25.0,Thursday,2.0,2024,4,20,Saturday,2
S004,Supplier 4,P001,2024-12-19,2024-12-16,3,4.8,1596,2024.0,12.0,19.0,Thursday,4.0,2024,12,16,Monday,4
S002,Supplier 2,P006,2024-06-27,2024-06-20,7,3.4,733,2024.0,6.0,27.0,Thursday,2.0,2024,6,20,Thursday,2
S003,Supplier 3,P001,2024-12-14,2024-12-07,7,4.8,3869,2024.0,12.0,14.0,Saturday,4.0,2024,12,7,Saturday,4
S004,Supplier 4,P006,2024-09-19,2024-09-18,1,4.9,1493,2024.0,9.0,19.0,Thursday,3.0,2024,9,18,Wednesday,3
S001,Supplier 1,P002,2024-04-23,2024-04-18,5,3.4,1752,2024.0,4.0,23.0,Tuesday,2.0,2024,4,18,Thursday,2
S004,Supplier 4,P002,2024-11-18,2024-11-14,4,3.6,1806,2024.0,11.0,18.0,Monday,4.0,2024,11,14,Thursday,4
S004,Supplier 4,P002,2024-02-09,2024-02-07,2,4.6,3743,2024.0,2.0,9.0,Friday,1.0,2024,2,7,Wednesday,1
S001,Supplier 1,P004,2024-08-21,2024-08-21,3,4.7,3068,2024.0,8.0,21.0,Wednesday,3.0,2024,8,21,Wednesday,3
S004,Supplier 4,P002,2024-10-08,2024-10-08,3,3.7,4710,2024.0,10.0,8.0,Tuesday,4.0,2024,10,8,Tuesday,4
S002,Supplier 2,P002,2024-09-01,2024-08-26,6,3.2,3654,2024.0,9.0,1.0,Sunday,3.0,2024,8,26,Monday,3
S001,Supplier 1,P002,2024-11-01,2024-11-01,0,4.4,4498,2024.0,11.0,1.0,Friday,4.0,2024,11,1,Friday,4
S004,Supplier 4,P001,2024-08-24,2024-08-24,0,3.5,2828,2024.0,8.0,24.0,Saturday,3.0,2024,8,24,Saturday,3
S002,Supplier 2,P004,2024-11-30,2024-11-29,1,4.1,2007,2024.0,11.0,30.0,Saturday,4.0,2024,11,29,Friday,4
S004,Supplier 4,P003,2024-12-14,2024-12-09,5,4.2,4462,2024.0,12.0,14.0,Saturday,4.0,2024,12,9,Monday,4
S001,Supplier 1,P003,2024-05-14,2024-05-12,2,5.0,901,2024.0,5.0,14.0,Tuesday,2.0,2024,5,12,Sunday,2
S003,Supplier 3,P006,2024-08-11,2024-08-04,7,3.7,4607,2024.0,8.0,11.0,Sunday,3.0,2024,8,4,Sunday,3
S003,Supplier 3,P006,2024-07-27,2024-07-27,0,4.0,2962,2024.0,7.0,27.0,Saturday,3.0,2024,7,27,Saturday,3
S001,Supplier 1,P001,2024-04-24,2024-04-19,5,3.3,2164,2024.0,4.0,24.0,Wednesday,2.0,2024,4,19,Friday,2
S001,Supplier 1,P004,2024-02-07,2024-01-31,7,4.3,4153,2024.0,2.0,7.0,Wednesday,1.0,2024,1,31,Wednesday,1
S003,Supplier 3,P005,2024-04-24,2024-04-20,4,4.9,4748,2024.0,4.0,24.0,Wednesday,2.0,2024,4,20,Saturday,2
S002,Supplier 2,P002,2024-02-23,2024-02-16,7,4.0,3319,2024.0,2.0,23.0,Friday,1.0,2024,2,16,Friday,1
S003,Supplier 3,P006,2024-03-14,2024-03-07,7,4.3,839,2024.0,3.0,14.0,Thursday,1.0,2024,3,7,Thursday,1
S004,Supplier 4,P003,2024-02-01,2024-02-01,0,4.6,2802,2024.0,2.0,1.0,Thursday,1.0,2024,2,1,Thursday,1
S004,Supplier 4,P003,2024-03-08,2024-03-01,7,4.0,1660,2024.0,3.0,8.0,Friday,1.0,2024,3,1,Friday,1
S002,Supplier 2,P002,2024-10-26,2024-10-26,0,3.8,763,2024.0,10.0,26.0,Saturday,4.0,2024,10,26,Saturday,4
S003,Supplier 3,P006,2024-09-27,2024-09-21,6,4.1,4228,2024.0,9.0,27.0,Friday,3.0,2024,9,21,Saturday,3
S003,Supplier 3,P003,2024-05-18,2024-05-18,0,5.0,2799,2024.0,5.0,18.0,Saturday,2.0,2024,5,18,Saturday,2
S002,Supplier 2,P002,2024-04-29,2024-04-27,2,3.9,3824,2024.0,4.0,29.0,Monday,2.0,2024,4,27,Saturday,2
S003,Supplier 3,P001,2024-07-25,2024-07-22,3,4.8,1395,2024.0,7.0,25.0,Thursday,3.0,2024,7,22,Monday,3
S001,Supplier 1,P002,2024-09-28,2024-09-26,2,4.4,4269,2024.0,9.0,28.0,Saturday,3.0,2024,9,26,Thursday,3
S002,Supplier 2,P003,2024-11-20,2024-11-16,4,3.3,2115,2024.0,11.0,20.0,Wednesday,4.0,2024,11,16,Saturday,4
S001,Supplier 1,P004,2024-04-28,2024-04-22,6,4.0,2941,2024.0,4.0,28.0,Sunday,2.0,2024,4,22,Monday,2
S004,Supplier 4,P006,2024-01-18,2024-01-15,3,3.3,2250,2024.0,1.0,18.0,Thursday,1.0,2024,1,15,Monday,1
S002,Supplier 2,P006,2024-04-04,2024-04-01,3,3.9,4404,2024.0,4.0,4.0,Thursday,2.0,2024,4,1,Monday,2
S002,Supplier 2,P001,2024-09-03,2024-09-02,1,3.6,3263,2024.0,9.0,3.0,Tuesday,3.0,2024,9,2,Monday,3
S003,Supplier 3,P004,2024-01-24,2024-01-17,7,3.8,1898,2024.0,1.0,24.0,Wednesday,1.0,2024,1,17,Wednesday,1
S003,Supplier 3,P003,2024-02-04,2024-01-29,6,4.2,1875,2024.0,2.0,4.0,Sunday,1.0,2024,1,29,Monday,1
S002,Supplier 2,P005,2024-02-09,2024-02-03,6,4.1,3616,2024.0,2.0,9.0,Friday,1.0,2024,2,3,Saturday,1
S001,Supplier 1,P005,2024-06-23,2024-06-20,3,4.3,2261,2024.0,6.0,23.0,Sunday,2.0,2024,6,20,Thursday,2
S001,Supplier 1,P002,2024-04-11,2024-04-11,0,3.3,1223,2024.0,4.0,11.0,Thursday,2.0,2024,4,11,Thursday,2
S001,Supplier 1,P001,2024-06-18,2024-06-13,5,4.4,4845,2024.0,6.0,18.0,Tuesday,2.0,2024,6,13,Thursday,2
S004,Supplier 4,P001,2024-08-21,2024-08-20,1,4.8,2430,2024.0,8.0,21.0,Wednesday,3.0,2024,8,20,Tuesday,3
S003,Supplier 3,P002,2024-11-25,2024-11-25,0,4.3,4692,2024.0,11.0,25.0,Monday,4.0,2024,11,25,Monday,4
S002,Supplier 2,P006,2024-01-14,2024-01-12,2,3.3,1867,2024.0,1.0,14.0,Sunday,1.0,2024,1,12,Friday,1
S003,Supplier 3,P004,2024-10-04,2024-09-29,5,3.1,782,2024.0,10.0,4.0,Friday,4.0,2024,9,29,Sunday,3
S001,Supplier 1,P005,2024-07-23,2024-07-16,7,3.9,4311,2024.0,7.0,23.0,Tuesday,3.0,2024,7,16,Tuesday,3
S001,Supplier 1,P006,2024-03-13,2024-03-09,4,3.8,2738,2024.0,3.0,13.0,Wednesday,1.0,2024,3,9,Saturday,1
S004,Supplier 4,P001,2024-04-18,2024-04-18,3,3.0,2522,2024.0,4.0,18.0,Thursday,2.0,2024,4,18,Thursday,2
S004,Supplier 4,P004,2024-08-31,2024-08-25,6,4.1,3409,2024.0,8.0,31.0,Saturday,3.0,2024,8,25,Sunday,3
S001,Supplier 1,P003,2024-02-18,2024-02-14,4,4.2,1059,2024.0,2.0,18.0,Sunday,1.0,2024,2,14,Wednesday,1
S004,Supplier 4,P001,2024-02-06,2024-02-03,3,5.0,3869,2024.0,2.0,6.0,Tuesday,1.0,2024,2,3,Saturday,1
S003,Supplier 3,P001,2024-09-28,2024-09-26,2,4.3,3794,2024.0,9.0,28.0,Saturday,3.0,2024,9,26,Thursday,3
S001,Supplier 1,P002,2024-02-08,2024-02-06,2,3.8,3064,2024.0,2.0,8.0,Thursday,1.0,2024,2,6,Tuesday,1
S004,Supplier 4,P005,2024-06-03,2024-05-31,3,3.1,1177,2024.0,6.0,3.0,Monday,2.0,2024,5,31,Friday,2
S001,Supplier 1,P004,2024-12-15,2024-12-09,6,4.2,1254,2024.0,12.0,15.0,Sunday,4.0,2024,12,9,Monday,4
S002,Supplier 2,P003,2024-08-11,2024-08-04,7,3.6,2534,2024.0,8.0,11.0,Sunday,3.0,2024,8,4,Sunday,3
S001,Supplier 1,P001,2024-08-27,2024-08-24,3,3.7,1589,2024.0,8.0,27.0,Tuesday,3.0,2024,8,24,Saturday,3
S003,Supplier 3,P002,2024-11-02,2024-10-28,5,3.6,4587,2024.0,11.0,2.0,Saturday,4.0,2024,10,28,Monday,4
S001,Supplier 1,P006,2024-05-28,2024-05-22,6,3.8,4280,2024.0,5.0,28.0,Tuesday,2.0,2024,5,22,Wednesday,2
S002,Supplier 2,P005,2024-03-29,2024-03-27,2,3.3,3064,2024.0,3.0,29.0,Friday,1.0,2024,3,27,Wednesday,1
S001,Supplier 1,P005,2024-04-25,2024-04-22,3,4.5,2512,2024.0,4.0,25.0,Thursday,2.0,2024,4,22,Monday,2
S002,Supplier 2,P001,2024-07-04,2024-06-29,5,3.3,4960,2024.0,7.0,4.0,Thursday,3.0,2024,6,29,Saturday,2
S001,Supplier 1,P003,2024-03-05,2024-03-03,2,4.3,2353,2024.0,3.0,5.0,Tuesday,1.0,2024,3,3,Sunday,1
S001,Supplier 1,P003,2024-03-01,2024-02-23,7,4.8,2794,2024.0,3.0,1.0,Friday,1.0,2024,2,23,Friday,1
S002,Supplier 2,P005,2024-02-09,2024-02-08,1,3.5,677,2024.0,2.0,9.0,Friday,1.0,2024,2,8,Thursday,1
S003,Supplier 3,P003,2024-03-20,2024-03-15,5,4.2,1033,2024.0,3.0,20.0,Wednesday,1.0,2024,3,15,Friday,1
S002,Supplier 2,P006,2024-09-08,2024-09-03,5,3.4,763,2024.0,9.0,8.0,Sunday,3.0,2024,9,3,Tuesday,3
S001,Supplier 1,P001,2025-01-01,2024-12-30,2,3.5,2550,2025.0,1.0,1.0,Wednesday,1.0,2024,12,30,Monday,4
S002,Supplier 2,P002,2024-10-31,2024-10-31,3,4.6,1539,2024.0,10.0,31.0,Thursday,4.0,2024,10,31,Thursday,4
S004,Supplier 4,P001,2024-10-03,2024-09-27,6,3.5,1459,2024.0,10.0,3.0,Thursday,4.0,2024,9,27,Friday,3
S004,Supplier 4,P006,2024-11-11,2024-11-08,3,3.9,4938,2024.0,11.0,11.0,Monday,4.0,2024,11,8,Friday,4
S003,Supplier 3,P001,2024-01-16,2024-01-14,2,3.8,838,2024.0,1.0,16.0,Tuesday,1.0,2024,1,14,Sunday,1
S003,Supplier 3,P005,2024-05-14,2024-05-09,5,3.5,3712,2024.0,5.0,14.0,Tuesday,2.0,2024,5,9,Thursday,2
S001,Supplier 1,P004,2024-10-24,2024-10-17,7,4.0,2174,2024.0,10.0,24.0,Thursday,4.0,2024,10,17,Thursday,4
S003,Supplier 3,P001,2024-01-03,2024-01-02,1,4.5,2101,2024.0,1.0,3.0,Wednesday,1.0,2024,1,2,Tuesday,1
S003,Supplier 3,P004,2024-09-06,2024-09-06,3,3.8,841,2024.0,9.0,6.0,Friday,3.0,2024,9,6,Friday,3
S002,Supplier 2,P006,2024-12-07,2024-12-07,3,3.9,2340,2024.0,12.0,7.0,Saturday,4.0,2024,12,7,Saturday,4
S002,Supplier 2,P001,2024-05-26,2024-05-24,2,4.4,1890,2024.0,5.0,26.0,Sunday,2.0,2024,5,24,Friday,2
S004,Supplier 4,P002,2024-09-09,2024-09-09,0,4.2,2952,2024.0,9.0,9.0,Monday,3.0,2024,9,9,Monday,3
S003,Supplier 3,P002,2024-08-16,2024-08-11,5,3.1,2569,2024.0,8.0,16.0,Friday,3.0,2024,8,11,Sunday,3
S002,Supplier 2,P002,2024-11-30,2024-11-23,7,3.6,3217,2024.0,11.0,30.0,Saturday,4.0,2024,11,23,Saturday,4
S002,Supplier 2,P003,2024-01-05,2024-01-05,3,3.4,1667,2024.0,1.0,5.0,Friday,1.0,2024,1,5,Friday,1
S004,Supplier 4,P003,2024-01-12,2024-01-12,0,4.8,1672,2024.0,1.0,12.0,Friday,1.0,2024,1,12,Friday,1
S004,Supplier 4,P006,2024-08-21,2024-08-20,1,4.7,3568,2024.0,8.0,21.0,Wednesday,3.0,2024,8,20,Tuesday,3
S003,Supplier 3,P001,2024-03-26,2024-03-26,0,4.6,4864,2024.0,3.0,26.0,Tuesday,1.0,2024,3,26,Tuesday,1
S003,Supplier 3,P001,2024-07-06,2024-06-30,6,3.3,2193,2024.0,7.0,6.0,Saturday,3.0,2024,6,30,Sunday,2
S001,Supplier 1,P006,2024-05-18,2024-05-16,2,4.9,3985,2024.0,5.0,18.0,Saturday,2.0,2024,5,16,Thursday,2
S002,Supplier 2,P003,2024-01-24,2024-01-20,4,4.1,3182,2024.0,1.0,24.0,Wednesday,1.0,2024,1,20,Saturday,1
S001,Supplier 1,P006,2024-09-13,2024-09-09,4,3.1,4433,2024.0,9.0,13.0,Friday,3.0,2024,9,9,Monday,3
S001,Supplier 1,P001,2024-10-07,2024-10-02,5,3.4,3893,2024.0,10.0,7.0,Monday,4.0,2024,10,2,Wednesday,4
S002,Supplier 2,P001,2024-08-16,2024-08-11,5,3.4,3112,2024.0,8.0,16.0,Friday,3.0,2024,8,11,Sunday,3
S002,Supplier 2,P004,2024-01-27,2024-01-21,6,4.9,1340,2024.0,1.0,27.0,Saturday,1.0,2024,1,21,Sunday,1
S004,Supplier 4,P002,2024-11-14,2024-11-13,1,4.9,4721,2024.0,11.0,14.0,Thursday,4.0,2024,11,13,Wednesday,4
S004,Supplier 4,P005,2025-01-05,2024-12-29,7,4.7,2212,2025.0,1.0,5.0,Sunday,1.0,2024,12,29,Sunday,4
S002,Supplier 2,P002,2024-03-04,2024-03-03,1,4.7,3596,2024.0,3.0,4.0,Monday,1.0,2024,3,3,Sunday,1
S001,Supplier 1,P001,2024-11-08,2024-11-04,4,4.9,2999,2024.0,11.0,8.0,Friday,4.0,2024,11,4,Monday,4
S001,Supplier 1,P006,2024-07-29,2024-07-26,3,3.3,1619,2024.0,7.0,29.0,Monday,3.0,2024,7,26,Friday,3
S004,Supplier 4,P005,2024-01-27,2024-01-27,0,4.7,2347,2024.0,1.0,27.0,Saturday,1.0,2024,1,27,Saturday,1
S004,Supplier 4,P006,2024-03-08,2024-03-01,7,3.8,2998,2024.0,3.0,8.0,Friday,1.0,2024,3,1,Friday,1
S004,Supplier 4,P004,2024-12-27,2024-12-25,2,4.9,4839,2024.0,12.0,27.0,Friday,4.0,2024,12,25,Wednesday,4
S004,Supplier 4,P005,2024-04-26,2024-04-24,2,4.2,2347,2024.0,4.0,26.0,Friday,2.0,2024,4,24,Wednesday,2
S002,Supplier 2,P003,2024-05-13,2024-05-06,7,5.0,3358,2024.0,5.0,13.0,Monday,2.0,2024,5,6,Monday,2
S001,Supplier 1,P001,2024-09-08,2024-09-03,5,4.0,761,2024.0,9.0,8.0,Sunday,3.0,2024,9,3,Tuesday,3
S003,Supplier 3,P005,2024-07-21,2024-07-14,7,4.5,2528,2024.0,7.0,21.0,Sunday,3.0,2024,7,14,Sunday,3
S004,Supplier 4,P005,2024-09-30,2024-09-28,2,3.6,4249,2024.0,9.0,30.0,Monday,3.0,2024,9,28,Saturday,3
S004,Supplier 4,P006,2024-11-18,2024-11-18,3,4.7,3146,2024.0,11.0,18.0,Monday,4.0,2024,11,18,Monday,4
S003,Supplier 3,P003,2024-05-13,2024-05-09,4,3.7,926,2024.0,5.0,13.0,Monday,2.0,2024,5,9,Thursday,2
S002,Supplier 2,P001,2024-11-11,2024-11-11,3,3.7,3413,2024.0,11.0,11.0,Monday,4.0,2024,11,11,Monday,4
S001,Supplier 1,P005,2024-12-23,2024-12-17,6,3.0,621,2024.0,12.0,23.0,Monday,4.0,2024,12,17,Tuesday,4
S001,Supplier 1,P006,2024-10-31,2024-10-28,3,4.2,1641,2024.0,10.0,31.0,Thursday,4.0,2024,10,28,Monday,4
S002,Supplier 2,P002,2024-08-06,2024-08-02,4,4.9,2166,2024.0,8.0,6.0,Tuesday,3.0,2024,8,2,Friday,3
S004,Supplier 4,P003,2024-09-01,2024-08-28,4,3.3,1636,2024.0,9.0,1.0,Sunday,3.0,2024,8,28,Wednesday,3
S004,Supplier 4,P006,2024-01-06,2024-01-02,4,3.1,3567,2024.0,1.0,6.0,Saturday,1.0,2024,1,2,Tuesday,1
S001,Supplier 1,P004,2024-06-12,2024-06-07,5,4.9,1069,2024.0,6.0,12.0,Wednesday,2.0,2024,6,7,Friday,2
S003,Supplier 3,P002,2024-07-04,2024-07-03,1,3.3,4678,2024.0,7.0,4.0,Thursday,3.0,2024,7,3,Wednesday,3
S002,Supplier 2,P004,2024-05-24,2024-05-18,6,3.5,3087,2024.0,5.0,24.0,Friday,2.0,2024,5,18,Saturday,2
S004,Supplier 4,P001,2024-03-03,2024-02-27,5,5.0,3803,2024.0,3.0,3.0,Sunday,1.0,2024,2,27,Tuesday,1
S003,Supplier 3,P002,2024-02-27,2024-02-27,0,3.3,730,2024.0,2.0,27.0,Tuesday,1.0,2024,2,27,Tuesday,1
S003,Supplier 3,P002,2024-06-20,2024-06-20,3,3.3,1589,2024.0,6.0,20.0,Thursday,2.0,2024,6,20,Thursday,2
S003,Supplier 3,P005,2024-09-16,2024-09-16,3,3.2,4939,2024.0,9.0,16.0,Monday,3.0,2024,9,16,Monday,3
S003,Supplier 3,P001,2024-05-13,2024-05-13,3,4.6,2462,2024.0,5.0,13.0,Monday,2.0,2024,5,13,Monday,2
S004,Supplier 4,P006,2024-05-07,2024-05-03,4,4.7,1716,2024.0,5.0,7.0,Tuesday,2.0,2024,5,3,Friday,2
S001,Supplier 1,P005,2024-12-10,2024-12-08,2,3.3,2939,2024.0,12.0,10.0,Tuesday,4.0,2024,12,8,Sunday,4
S002,Supplier 2,P006,2024-08-19,2024-08-15,4,3.9,787,2024.0,8.0,19.0,Monday,3.0,2024,8,15,Thursday,3
S004,Supplier 4,P004,2024-10-30,2024-10-28,2,3.4,4452,2024.0,10.0,30.0,Wednesday,4.0,2024,10,28,Monday,4
S001,Supplier 1,P003,2024-09-24,2024-09-17,7,4.6,4552,2024.0,9.0,24.0,Tuesday,3.0,2024,9,17,Tuesday,3
S003,Supplier 3,P006,2024-02-22,2024-02-19,3,3.0,4899,2024.0,2.0,22.0,Thursday,1.0,2024,2,19,Monday,1
S002,Supplier 2,P003,2024-10-19,2024-10-17,2,3.2,3370,2024.0,10.0,19.0,Saturday,4.0,2024,10,17,Thursday,4
