supplier_id,supplier_name,product_id,delivery_date,expected_date,delay_days,supplier_rating,transportation_cost
S002,Supplier 2,P002,2024-11-30,2024-11-23,7,3.6,3217
S002,Supplier 2,P003,2024-01-05,2024-01-05,-1,3.4,1667
S004,Supplier 4,P003,2024-01-12,2024-01-12,0,4.8,1672
S004,Supplier 4,P006,2024-08-21,2024-08-20,1,4.7,3568
S003,Supplier 3,P001,2024-03-26,2024-03-26,0,4.6,4864
S003,Supplier 3,P001,2024-07-06,2024-06-30,6,3.3,2193
S001,Supplier 1,P006,2024-05-18,2024-05-16,2,4.9,3985
S002,Supplier 2,P003,2024-01-24,2024-01-20,4,4.1,3182
S001,Supplier 1,P006,2024-09-13,2024-09-09,4,3.1,4433
S001,Supplier 1,P001,2024-10-07,2024-10-02,5,3.4,3893
S002,Supplier 2,P001,2024-08-16,2024-08-11,5,3.4,3112
S002,Supplier 2,P004,2024-01-27,2024-01-21,6,4.9,1340
S004,Supplier 4,P002,2024-11-14,2024-11-13,1,4.9,4721
S004,Supplier 4,P005,2025-01-05,2024-12-29,7,4.7,2212
S002,Supplier 2,P002,2024-03-04,2024-03-03,1,4.7,3596
S001,Supplier 1,P001,2024-11-08,2024-11-04,4,4.9,2999
S001,Supplier 1,P006,2024-07-29,2024-07-26,3,3.3,1619
S004,Supplier 4,P005,2024-01-27,2024-01-27,0,4.7,2347
S004,Supplier 4,P006,2024-03-08,2024-03-01,7,3.8,2998
S004,Supplier 4,P004,2024-12-27,2024-12-25,2,4.9,4839
S004,Supplier 4,P005,2024-04-26,2024-04-24,2,4.2,2347
S002,Supplier 2,P003,2024-05-13,2024-05-06,7,5,3358
S001,Supplier 1,P001,2024-09-08,2024-09-03,5,4,761
S003,Supplier 3,P005,2024-07-21,2024-07-14,7,4.5,2528
S004,Supplier 4,P005,2024-09-30,2024-09-28,2,3.6,4249
S004,Supplier 4,P006,2024-11-18,2024-11-18,-1,4.7,3146
S003,Supplier 3,P003,2024-05-13,2024-05-09,4,3.7,926
S002,Supplier 2,P001,2024-11-11,2024-11-11,-1,3.7,3413
S001,Supplier 1,P005,2024-12-23,2024-12-17,6,3,621
S001,Supplier 1,P006,2024-10-31,2024-10-28,3,4.2,1641
S002,Supplier 2,P002,2024-08-06,2024-08-02,4,4.9,2166
S004,Supplier 4,P003,2024-09-01,2024-08-28,4,3.3,1636
S004,Supplier 4,P006,2024-01-06,2024-01-02,4,3.1,3567
S001,Supplier 1,P004,2024-06-12,2024-06-07,5,4.9,1069
S003,Supplier 3,P002,2024-07-04,2024-07-03,1,3.3,4678
S002,Supplier 2,P004,2024-05-24,2024-05-18,6,3.5,3087
S004,Supplier 4,P001,2024-03-03,2024-02-27,5,5,3803
S003,Supplier 3,P002,2024-02-27,2024-02-27,0,3.3,730
S003,Supplier 3,P002,2024-06-20,2024-06-20,-1,3.3,1589
S003,Supplier 3,P005,2024-09-16,2024-09-16,-1,3.2,4939
S003,Supplier 3,P001,2024-05-13,2024-05-13,-1,4.6,2462
S004,Supplier 4,P006,2024-05-07,2024-05-03,4,4.7,1716
S001,Supplier 1,P005,2024-12-10,2024-12-08,2,3.3,2939
S002,Supplier 2,P006,2024-08-19,2024-08-15,4,3.9,787
S004,Supplier 4,P004,2024-10-30,2024-10-28,2,3.4,4452
S001,Supplier 1,P003,2024-09-24,2024-09-17,7,4.6,4552
S003,Supplier 3,P006,2024-02-22,2024-02-19,3,3,4899
S002,Supplier 2,P003,2024-10-19,2024-10-17,2,3.2,3370
S002,Supplier 2,P003,2024-06-15,2024-06-15,-1,3.7,4312
S002,Supplier 2,P006,2024-03-17,2024-03-17,-1,4.6,4667
S004,Supplier 4,P006,2024-04-04,2024-04-03,1,3.5,2222
S002,Supplier 2,P001,2024-08-11,2024-08-11,0,4.6,3537
S002,Supplier 2,P001,2024-06-25,2024-06-18,7,3.8,1196
S003,Supplier 3,P002,2024-12-27,2024-12-27,-1,3.7,3017
S002,Supplier 2,P005,2024-05-10,2024-05-10,-1,4.5,2499
S003,Supplier 3,P005,2024-01-31,2024-01-30,1,3.6,4161
S003,Supplier 3,P003,2024-02-27,2024-02-23,4,4.1,4399
S003,Supplier 3,P004,2024-07-05,2024-07-05,0,5,4067
S001,Supplier 1,P006,2024-10-05,2024-10-05,0,4.9,2311
S002,Supplier 2,P004,2024-05-28,2024-05-26,2,3.5,4438
S004,Supplier 4,P006,2024-08-08,2024-08-06,2,4.9,3978
S002,Supplier 2,P002,2024-05-27,2024-05-27,0,3.5,1818
S001,Supplier 1,P003,2024-02-11,2024-02-07,4,3.5,4684
S004,Supplier 4,P006,2024-01-05,2024-01-04,1,4.4,3489
S003,Supplier 3,P004,2024-11-26,2024-11-26,-1,5,3968
S001,Supplier 1,P004,2024-04-12,2024-04-06,6,3.8,506
S001,Supplier 1,P004,2024-04-21,2024-04-17,4,3.2,4710
S002,Supplier 2,P005,2024-10-17,2024-10-16,1,4.9,3149
S002,Supplier 2,P004,2024-10-24,2024-10-17,7,3.5,4335
S004,Supplier 4,P001,2024-06-29,2024-06-29,-1,4.2,3354
S003,Supplier 3,P005,2024-04-20,2024-04-19,1,4.5,2104
S003,Supplier 3,P003,2024-09-26,2024-09-24,2,3.5,1803
S001,Supplier 1,P002,2024-11-21,2024-11-21,-1,4.2,1037
S003,Supplier 3,P005,2024-03-10,2024-03-04,6,4.3,2956
S001,Supplier 1,P005,2024-07-17,2024-07-16,1,4.9,1610
S004,Supplier 4,P006,2024-12-16,2024-12-16,-1,3.4,4836
S001,Supplier 1,P006,2024-01-16,2024-01-14,2,3.8,896
S001,Supplier 1,P006,2024-11-13,2024-11-09,4,4,2707
S003,Supplier 3,P002,2024-12-27,2024-12-23,4,4.9,4743
S001,Supplier 1,P005,2024-01-09,2024-01-06,3,5,2967
S003,Supplier 3,P001,2024-12-31,2024-12-24,7,3.1,2440
S001,Supplier 1,P003,2024-01-17,2024-01-17,-1,4.6,4090
S002,Supplier 2,P006,2024-01-10,2024-01-10,-1,3.8,852
S003,Supplier 3,P001,2024-09-09,2024-09-04,5,4.1,1375
S002,Supplier 2,P006,2024-08-27,2024-08-26,1,3.7,2866
S001,Supplier 1,P001,2024-02-10,2024-02-08,2,4.8,2035
S003,Supplier 3,P006,2024-01-04,2024-01-03,1,3.6,2323
S004,Supplier 4,P006,2024-08-23,2024-08-17,6,4.9,3760
S002,Supplier 2,P005,2024-03-04,2024-03-02,2,4.1,2150
S004,Supplier 4,P003,2024-02-03,2024-02-03,0,3.6,4037
S001,Supplier 1,P006,2024-06-29,2024-06-29,0,3.8,1450
S001,Supplier 1,P002,2024-01-28,2024-01-26,2,4.6,2557
S003,Supplier 3,P001,2024-08-06,2024-08-06,0,4.1,2663
S001,Supplier 1,P003,2024-01-30,2024-01-29,1,3.3,1125
S003,Supplier 3,P003,2024-12-24,2024-12-24,0,4.4,4367
S002,Supplier 2,P002,2024-04-18,2024-04-13,5,3.4,1619
S002,Supplier 2,P006,2024-05-22,2024-05-22,0,4.6,531
S002,Supplier 2,P001,2024-03-08,2024-03-04,4,5,4888
S003,Supplier 3,P004,2024-08-11,2024-08-05,6,4.3,4263
S001,Supplier 1,P006,2024-06-16,2024-06-16,0,4.9,3770
S003,Supplier 3,P002,2024-04-08,2024-04-04,4,3.8,4821
S002,Supplier 2,P001,2024-01-26,2024-01-26,0,4.4,4011
S003,Supplier 3,P002,2024-09-03,2024-09-02,1,3.8,1384
S001,Supplier 1,P006,2024-08-17,2024-08-17,-1,3.4,1303
S004,Supplier 4,P005,2024-06-09,2024-06-08,1,3.9,3275
S003,Supplier 3,P003,2024-02-18,2024-02-16,2,3.8,1042
S002,Supplier 2,P001,2024-04-17,2024-04-15,2,4.6,3285
S004,Supplier 4,P001,2024-12-29,2024-12-28,1,4.1,2536
S003,Supplier 3,P005,2024-06-11,2024-06-11,-1,4,1115
S001,Supplier 1,P001,2024-12-08,2024-12-08,0,3.1,1221
S001,Supplier 1,P001,2024-12-07,2024-12-06,1,4.8,2329
S004,Supplier 4,P001,2024-05-15,2024-05-08,7,4,4503
S004,Supplier 4,P004,2024-11-24,2024-11-21,3,5,1182
S002,Supplier 2,P006,2024-03-06,2024-03-06,0,3.4,1604
S002,Supplier 2,P005,2024-11-21,2024-11-19,2,4.5,846
S002,Supplier 2,P005,2024-02-17,2024-02-15,2,4.8,3954
S001,Supplier 1,P005,2024-09-01,2024-08-27,5,4.3,3180
S003,Supplier 3,P006,2024-11-01,2024-11-01,-1,3,2976
S001,Supplier 1,P004,2024-12-31,2024-12-26,5,4.2,2937
S004,Supplier 4,P006,2024-02-02,2024-01-29,4,3.1,1691
S004,Supplier 4,P001,2024-06-25,2024-06-18,7,3.7,2825
S003,Supplier 3,P004,2024-12-19,2024-12-12,7,5,1682
S002,Supplier 2,P003,2024-11-22,2024-11-22,-1,3.5,3219
S002,Supplier 2,P004,2024-10-07,2024-10-07,0,3.9,3929
S004,Supplier 4,P002,2024-05-31,2024-05-24,7,3.7,3686
S003,Supplier 3,P005,2024-03-05,2024-02-29,5,4,3313
S001,Supplier 1,P001,2024-08-06,2024-08-05,1,4.7,1933
S002,Supplier 2,P004,2024-10-04,2024-09-28,6,4.6,2964
S004,Supplier 4,P003,2024-04-05,2024-04-03,2,4.6,2812
S003,Supplier 3,P003,2024-12-15,2024-12-08,7,3.7,1732
S001,Supplier 1,P004,2024-05-26,2024-05-26,0,4.2,2340
S004,Supplier 4,P002,2024-10-30,2024-10-23,7,3.6,3639
S004,Supplier 4,P002,2024-02-25,2024-02-23,2,4.5,3616
S001,Supplier 1,P001,2024-10-08,2024-10-04,4,4.2,1528
S004,Supplier 4,P001,2024-07-15,2024-07-13,2,3.8,4908
S004,Supplier 4,P001,2024-12-26,2024-12-22,4,3.5,1179
S001,Supplier 1,P001,2024-05-15,2024-05-15,0,3.5,3477
S003,Supplier 3,P004,2024-06-26,2024-06-22,4,4.4,1544
S002,Supplier 2,P004,2024-04-24,2024-04-24,0,3.7,914
S004,Supplier 4,P005,2024-12-09,2024-12-08,1,4.8,1692
S004,Supplier 4,P003,2024-11-29,2024-11-29,0,3.1,1929
S003,Supplier 3,P003,2024-07-22,2024-07-22,-1,4.8,3289
S004,Supplier 4,P003,2024-06-25,2024-06-23,2,4.3,1775
S004,Supplier 4,P004,2024-01-17,2024-01-13,4,4,2755
S002,Supplier 2,P004,2024-10-20,2024-10-15,5,4.9,2464
S003,Supplier 3,P002,2024-05-01,2024-04-24,7,3.8,4337
S002,Supplier 2,P001,2024-10-14,2024-10-10,4,3.3,2197
S001,Supplier 1,P001,2024-03-05,2024-03-02,3,4.6,2462
S002,Supplier 2,P005,2024-06-21,2024-06-18,3,4.5,2934
S002,Supplier 2,P005,2024-11-22,2024-11-19,3,3.7,1479
S001,Supplier 1,P002,2024-07-01,2024-07-01,0,4.5,4703
S003,Supplier 3,P006,2024-11-18,2024-11-11,7,4.9,4335
S003,Supplier 3,P004,2024-07-14,2024-07-07,7,3.1,4672
S002,Supplier 2,P002,2024-07-23,2024-07-19,4,3.5,2132
S003,Supplier 3,P001,2024-03-21,2024-03-21,0,3.7,802
S001,Supplier 1,P005,2024-03-09,2024-03-07,2,4.8,4887
S001,Supplier 1,P005,2024-01-12,2024-01-05,7,5,3124
S001,Supplier 1,P004,2024-05-19,2024-05-16,3,3.5,2271
S004,Supplier 4,P001,2024-11-05,2024-10-31,5,3.3,4648
S003,Supplier 3,P001,2024-04-03,2024-04-01,2,3.4,1277
S004,Supplier 4,P001,2024-05-27,2024-05-27,0,3.6,831
S002,Supplier 2,P003,2024-02-29,2024-02-25,4,3.4,4167
S003,Supplier 3,P003,2024-03-21,2024-03-16,5,4.7,2592
S004,Supplier 4,P006,2024-03-15,2024-03-15,-1,3.3,3926
S002,Supplier 2,P003,2024-10-20,2024-10-19,1,3.1,4096
S004,Supplier 4,P004,2024-04-12,2024-04-05,7,4.7,2554
S002,Supplier 2,P006,2024-12-19,2024-12-18,1,4.4,4801
S004,Supplier 4,P002,2024-03-13,2024-03-13,0,3.5,3554
S003,Supplier 3,P006,2024-01-26,2024-01-20,6,3.3,4774
S001,Supplier 1,P003,2024-09-20,2024-09-14,6,4.7,4678
S002,Supplier 2,P001,2024-03-29,2024-03-29,0,3.4,3331
S002,Supplier 2,P003,2024-10-05,2024-10-03,2,4.5,2764
S003,Supplier 3,P001,2024-04-28,2024-04-21,7,3.4,842
S004,Supplier 4,P004,2024-04-25,2024-04-25,-1,4.9,1090
S002,Supplier 2,P002,2024-12-12,2024-12-11,1,4.1,3036
S003,Supplier 3,P006,2024-04-27,2024-04-23,4,3.8,4187
S003,Supplier 3,P004,2025-01-05,2024-12-30,6,3.6,4051
S002,Supplier 2,P006,2024-08-01,2024-08-01,-1,3.8,2588
S004,Supplier 4,P001,2024-08-30,2024-08-25,5,3.7,2049
S001,Supplier 1,P003,2024-04-01,2024-03-30,2,3.9,1046
S004,Supplier 4,P003,2024-12-19,2024-12-19,-1,4.4,628
S002,Supplier 2,P004,2024-08-14,2024-08-12,2,4.3,1107
S003,Supplier 3,P002,2024-09-21,2024-09-20,1,3.9,2405
S004,Supplier 4,P006,2024-04-16,2024-04-14,2,4.4,4475
S003,Supplier 3,P006,2024-06-01,2024-05-28,4,4.4,1703
S001,Supplier 1,P005,2024-10-18,2024-10-16,2,4.2,1765
S004,Supplier 4,P005,2024-11-12,2024-11-06,6,5,2680
S003,Supplier 3,P003,2024-07-09,2024-07-06,3,3.2,719
S001,Supplier 1,P004,2024-12-24,2024-12-24,0,4.7,691
S004,Supplier 4,P001,2024-06-11,2024-06-10,1,4.8,4354
S003,Supplier 3,P001,2024-04-10,2024-04-03,7,4.5,614
S001,Supplier 1,P003,2024-09-16,2024-09-09,7,3.7,1274
S002,Supplier 2,P003,2024-10-17,2024-10-12,5,4.2,1586
S003,Supplier 3,P002,2024-05-16,2024-05-12,4,3.3,4222
S003,Supplier 3,P004,2024-03-17,2024-03-13,4,3.6,860
S002,Supplier 2,P004,2024-06-02,2024-05-31,2,3.6,4388
S002,Supplier 2,P006,2024-05-25,2024-05-24,1,4.4,4423
S003,Supplier 3,P003,2024-02-22,2024-02-21,1,3.5,4876
S001,Supplier 1,P005,2024-02-13,2024-02-09,4,4.4,4462
S003,Supplier 3,P004,2024-09-17,2024-09-17,-1,3.9,1227
S001,Supplier 1,P002,2024-02-07,2024-02-04,3,4,823
S004,Supplier 4,P005,2024-01-08,2024-01-06,2,4.7,3133
S003,Supplier 3,P006,2024-06-20,2024-06-18,2,3.4,2037
S004,Supplier 4,P003,2024-01-23,2024-01-22,1,3.6,1488
S003,Supplier 3,P003,2024-12-12,2024-12-12,-1,3.2,4245
S001,Supplier 1,P006,2024-02-11,2024-02-07,4,3.6,2254
S003,Supplier 3,P006,2024-02-29,2024-02-22,7,4.6,2067
S004,Supplier 4,P006,2024-10-17,2024-10-13,4,3.5,2092
S003,Supplier 3,P006,2024-07-20,2024-07-19,1,3.4,756
S003,Supplier 3,P006,2024-06-01,2024-05-26,6,4.6,502
S003,Supplier 3,P003,2024-06-06,2024-06-01,5,5,1686
S002,Supplier 2,P002,2024-05-12,2024-05-08,4,4.8,2875
S004,Supplier 4,P001,2024-11-01,2024-10-29,3,3.2,2217
S004,Supplier 4,P006,2024-09-19,2024-09-17,2,3.1,1464
S002,Supplier 2,P006,2024-07-21,2024-07-17,4,3.3,4865
S002,Supplier 2,P002,2024-01-25,2024-01-24,1,3.3,1190
S004,Supplier 4,P005,2024-09-03,2024-09-02,1,4.9,3760
S001,Supplier 1,P004,2024-01-04,2024-01-04,0,3.2,3645
S003,Supplier 3,P001,2024-09-14,2024-09-11,3,3.3,1908
S003,Supplier 3,P006,2024-07-01,2024-06-24,7,3.7,2180
S002,Supplier 2,P001,2024-12-12,2024-12-11,1,4.4,3949
S003,Supplier 3,P005,2024-03-09,2024-03-07,2,3.2,3645
S002,Supplier 2,P002,2024-07-05,2024-07-03,2,4,2259
S004,Supplier 4,P003,2024-05-04,2024-05-02,2,4.1,1420
S004,Supplier 4,P002,2024-02-09,2024-02-03,6,3.9,2757
S002,Supplier 2,P002,2024-02-06,2024-02-05,1,3.5,1388
S001,Supplier 1,P006,2024-12-15,2024-12-15,0,3.9,2367
S004,Supplier 4,P003,2024-11-12,2024-11-05,7,4,3716
S003,Supplier 3,P001,2024-06-20,2024-06-13,7,4.4,3471
S002,Supplier 2,P002,2024-03-30,2024-03-29,1,3.7,2239
S004,Supplier 4,P003,2024-03-11,2024-03-05,6,3.3,1695
S002,Supplier 2,P005,2024-04-15,2024-04-14,1,4.1,1319
S002,Supplier 2,P003,2024-07-08,2024-07-06,2,4.8,1684
S004,Supplier 4,P002,2024-11-15,2024-11-09,6,4.2,4632
S003,Supplier 3,P002,2024-12-20,2024-12-18,2,3.8,4390
S001,Supplier 1,P005,2024-01-03,2024-01-01,2,3.3,3974
S003,Supplier 3,P003,2024-03-25,2024-03-25,-1,3.6,4946
S002,Supplier 2,P004,2024-02-25,2024-02-25,0,4,2599
S002,Supplier 2,P006,2024-06-11,2024-06-11,0,3.8,1072
S002,Supplier 2,P001,2024-01-04,2024-01-04,0,4.4,3424
S003,Supplier 3,P002,2024-06-14,2024-06-11,3,4.3,3542
S003,Supplier 3,P002,2024-12-01,2024-11-29,2,3.9,1956
S001,Supplier 1,P005,2024-05-23,2024-05-21,2,4.4,3904
S001,Supplier 1,P006,2024-04-28,2024-04-22,6,4.1,3689
S004,Supplier 4,P006,2024-06-14,2024-06-13,1,4,4183
